figure	panel	displayed_value	metric	source_file	row/locus/gene	verified
Figure 3	b	0.035 (0.025,0.046)	donor-level mean LS-NL effect and bootstrap CI	results/phase2b/Table_phase2b_axis_cell_localization.tsv	F1	yes
Figure 3	b	0.015 (0.010,0.020)	donor-level mean LS-NL effect and bootstrap CI	results/phase2b/Table_phase2b_axis_cell_localization.tsv	F2	yes
Figure 3	b	0.049 (0.039,0.062)	donor-level mean LS-NL effect and bootstrap CI	results/phase2b/Table_phase2b_axis_cell_localization.tsv	F6	yes
Figure 3	b	0.121 (0.009,0.259)	donor-level mean LS-NL effect and bootstrap CI	results/phase2b/Table_phase2b_axis_cell_localization.tsv	F7	yes
Figure 3	c	0.502	median spot Spearman	results/phase2c/GSE225475_spatial_axis_localization.tsv	F1	yes
Figure 3	c	0.489	median spot Spearman	results/phase2c/GSE202011_spatial_axis_localization.tsv	F1	yes
Figure 3	c	0.506	median spot Spearman	results/phase2c/GSE225475_spatial_axis_localization.tsv	F2	yes
Figure 3	c	0.491	median spot Spearman	results/phase2c/GSE202011_spatial_axis_localization.tsv	F2	yes
Figure 3	c	0.546	median spot Spearman	results/phase2c/GSE225475_spatial_axis_localization.tsv	F6	yes
Figure 3	c	0.496	median spot Spearman	results/phase2c/GSE202011_spatial_axis_localization.tsv	F6	yes
Figure 3	c	0.505	median spot Spearman	results/phase2c/GSE225475_spatial_axis_localization.tsv	F7	yes
Figure 3	c	0.485	median spot Spearman	results/phase2c/GSE202011_spatial_axis_localization.tsv	F7	yes
Figure 6	a	122	"FDR-supported local-rg
locus-trait pairs"	results/phase4b_restricted_lava/phase4b_restricted_lava_summary.tsv	sum(fdr05_all_tests) across CAD/PsA/Crohn/UC	yes
Figure 6	a	91	"SMR/HEIDI-prioritized
outcome-gene pairs"	results/phase4c_smr/phase4c_frozen_shared_locus_eqtl_gene_table.tsv	unique outcome-gene pairs	yes
Figure 6	a	33	"Highest-tier
outcome-gene pairs"	results/phase4c_smr/phase4c_frozen_shared_locus_eqtl_gene_table.tsv	unique outcome-gene pairs with A_local_Tier1_recurrent_SMR2; 30 unique genes	yes
Figure 6	a	15	Restricted colocalization	results/phase4d_coloc/manuscript_tables/phase4d_coloc_supported_and_suggestive_candidates.tsv	unique outcome-gene-tissue pairs in restricted coloc set	yes
Figure 6	a	5	PP4-supported outcome-gene-tissue pairs	results/phase4d_coloc/manuscript_tables/phase4d_coloc_supported_and_suggestive_candidates.tsv	interpretation_tier == coloc_supported_PP4_ge_0p8	yes
Figure 6	a	10	suggestive outcome-gene-tissue pairs	results/phase4d_coloc/manuscript_tables/phase4d_coloc_supported_and_suggestive_candidates.tsv	interpretation_tier == suggestive_PP4_0p5_to_0p8	yes
Figure 6	b	0.971	colocalization PP4	results/phase4d_coloc/manuscript_tables/phase4d_coloc_supported_and_suggestive_candidates.tsv	PsA SLC22A5 Spleen	yes
Figure 6	b	0.945	colocalization PP4	results/phase4d_coloc/manuscript_tables/phase4d_coloc_supported_and_suggestive_candidates.tsv	PsA RP11-977G19.11 Cells_EBV-transformed_lymphocytes	yes
Figure 6	b	0.934	colocalization PP4	results/phase4d_coloc/manuscript_tables/phase4d_coloc_supported_and_suggestive_candidates.tsv	PsA SLC22A5 Cells_EBV-transformed_lymphocytes	yes
Figure 6	b	0.783	colocalization PP4	results/phase4d_coloc/manuscript_tables/phase4d_coloc_supported_and_suggestive_candidates.tsv	PsA RP11-977G19.11 Skin_Not_Sun_Exposed_Suprapubic	yes
Figure 6	b	0.773	colocalization PP4	results/phase4d_coloc/manuscript_tables/phase4d_coloc_supported_and_suggestive_candidates.tsv	PsA RP11-977G19.11 Whole_Blood	yes
Figure 6	b	0.762	colocalization PP4	results/phase4d_coloc/manuscript_tables/phase4d_coloc_supported_and_suggestive_candidates.tsv	PsA SLC22A5 Skin_Sun_Exposed_Lower_leg	yes
Figure 6	b	0.749	colocalization PP4	results/phase4d_coloc/manuscript_tables/phase4d_coloc_supported_and_suggestive_candidates.tsv	PsA RP11-977G19.11 Skin_Sun_Exposed_Lower_leg	yes
Figure 6	b	0.754	colocalization PP4	results/phase4d_coloc/manuscript_tables/phase4d_coloc_supported_and_suggestive_candidates.tsv	CAD UBQLN4 Skin_Sun_Exposed_Lower_leg	yes
Figure 6	b	0.746	colocalization PP4	results/phase4d_coloc/manuscript_tables/phase4d_coloc_supported_and_suggestive_candidates.tsv	CAD UBQLN4 Skin_Not_Sun_Exposed_Suprapubic	yes
Figure 6	b	0.597	colocalization PP4	results/phase4d_coloc/manuscript_tables/phase4d_coloc_supported_and_suggestive_candidates.tsv	CAD MEX3A Skin_Sun_Exposed_Lower_leg	yes
Figure 6	b	0.595	colocalization PP4	results/phase4d_coloc/manuscript_tables/phase4d_coloc_supported_and_suggestive_candidates.tsv	CAD MEX3A Skin_Not_Sun_Exposed_Suprapubic	yes
Figure 6	b	0.639	colocalization PP4	results/phase4d_coloc/manuscript_tables/phase4d_coloc_supported_and_suggestive_candidates.tsv	Crohn SLC22A5 Colon_Sigmoid	yes
Figure 6	b	0.565	colocalization PP4	results/phase4d_coloc/manuscript_tables/phase4d_coloc_supported_and_suggestive_candidates.tsv	Crohn PARK7 Whole_Blood	yes
Figure 6	b	0.960	colocalization PP4	results/phase4d_coloc/manuscript_tables/phase4d_coloc_supported_and_suggestive_candidates.tsv	UC RP11-973H7.1 Colon_Transverse	yes
Figure 6	b	0.960	colocalization PP4	results/phase4d_coloc/manuscript_tables/phase4d_coloc_supported_and_suggestive_candidates.tsv	UC RP11-973H7.1 Colon_Sigmoid	yes
Figure 4	b	-0.054 ± 0.120	MAGMA beta with 95% CI, MHC excluded	results/phase3a/magma_core_MHC_excluded.tsv	F1	yes
Figure 4	b	0.052 ± 0.077	MAGMA beta with 95% CI, MHC excluded	results/phase3a/magma_core_MHC_excluded.tsv	F2	yes
Figure 4	b	0.042 ± 0.159	MAGMA beta with 95% CI, MHC excluded	results/phase3a/magma_core_MHC_excluded.tsv	F6	yes
Figure 4	b	0.044 ± 0.136	MAGMA beta with 95% CI, MHC excluded	results/phase3a/magma_core_MHC_excluded.tsv	F7	yes
Figure 4	c	0.822	matched-null empirical P	results/phase3a/matched_null_results.tsv	F1	yes
Figure 4	c	0.091	matched-null empirical P	results/phase3a/matched_null_results.tsv	F2	yes
Figure 4	c	0.356	matched-null empirical P	results/phase3a/matched_null_results.tsv	F6	yes
Figure 4	c	0.201	matched-null empirical P	results/phase3a/matched_null_results.tsv	F7	yes
Figure 1	a	146	baseline psoriasis patients	manuscript/tables/Table1_public_datasets_and_roles.tsv	baseline psoriasis patients	yes
Figure 1	a	76	discovery complete three-view patients	results/phase1/phase1_smoke_summary.tsv	discovery complete three-view patients	yes
Figure 1	a	57	replication paired-skin patients	results/phase1/phase1_smoke_summary.tsv	replication paired-skin patients	yes
Figure 1	b	82	discovery lesional skin availability	results/phase1/phase1_smoke_summary.tsv	discovery lesional skin availability	yes
