display_item	figure_or_table	value	source_file	status
value	Figure 1	146	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure1_source_data.tsv	TRACEABLE
value	Figure 1	76	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure1_source_data.tsv	TRACEABLE
value	Figure 1	57	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure1_source_data.tsv	TRACEABLE
value	Figure 1	82	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure1_source_data.tsv	TRACEABLE
value	Figure 1	82	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure1_source_data.tsv	TRACEABLE
value	Figure 1	76	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure1_source_data.tsv	TRACEABLE
value	Figure 1	57	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure1_source_data.tsv	TRACEABLE
value	Figure 1	57	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure1_source_data.tsv	TRACEABLE
value	Figure 1	0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure1_source_data.tsv	TRACEABLE
value	Figure 1	0.562	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure1_source_data.tsv	TRACEABLE
value	Figure 1	0.75	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure1_source_data.tsv	TRACEABLE
value	Figure 1	F1;F2;F6;F7	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure1_source_data.tsv	TRACEABLE
donor_effect	Figure 3	0.0353959104685868	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure3_source_data.tsv	TRACEABLE
donor_effect	Figure 3	0.0152068552025566	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure3_source_data.tsv	TRACEABLE
donor_effect	Figure 3	0.0493424829787933	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure3_source_data.tsv	TRACEABLE
donor_effect	Figure 3	0.1205051573391503	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure3_source_data.tsv	TRACEABLE
bootstrap_ci_low	Figure 3	0.0245614500059623	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure3_source_data.tsv	TRACEABLE
bootstrap_ci_low	Figure 3	0.0101339144881021	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure3_source_data.tsv	TRACEABLE
bootstrap_ci_low	Figure 3	0.0386122224375777	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure3_source_data.tsv	TRACEABLE
bootstrap_ci_low	Figure 3	0.0088509530179001	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure3_source_data.tsv	TRACEABLE
bootstrap_ci_high	Figure 3	0.0462303709312114	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure3_source_data.tsv	TRACEABLE
bootstrap_ci_high	Figure 3	0.0202797959170111	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure3_source_data.tsv	TRACEABLE
bootstrap_ci_high	Figure 3	0.0620076557120946	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure3_source_data.tsv	TRACEABLE
bootstrap_ci_high	Figure 3	0.2592505884157169	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure3_source_data.tsv	TRACEABLE
fdr	Figure 3	0.3636363636363636	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure3_source_data.tsv	TRACEABLE
fdr	Figure 3	0.3636363636363636	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure3_source_data.tsv	TRACEABLE
fdr	Figure 3	0.3636363636363636	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure3_source_data.tsv	TRACEABLE
fdr	Figure 3	0.4242424242424242	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure3_source_data.tsv	TRACEABLE
SE	Figure 4	0.061254	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure4_source_data.tsv	TRACEABLE
