Issue_ID	Section	Problem	Severity	Existing_source_available?	New_analysis_required?	Action	Source_of_truth	Resolved?
V5-001	Bulk replication	GSE244679 methods were not sufficiently explicit	BLOCKING	YES	NO	Restored paired-skin design, scoring and Spearman projection details	src/integration/phase1b_external_replication.py; results/phase1b/external_GSE244679_skin_axis_replication.tsv	YES
V5-002	Bulk replication	GSE61281 blood support methods were not sufficiently explicit	BLOCKING	YES	NO	Restored microarray mapping, contrasts and supportive-evidence boundary	src/integration/phase1b_external_replication.py; results/phase1b/external_GSE61281_blood_axis_support.tsv	YES
V5-003	Single-cell sensitivity	GSE173706 appears in the main manuscript and needed full method coverage	BLOCKING	YES	NO	Added independent single-cell sensitivity methods and audit	src/integration/phase2c_gse173706_independent_scrna.py; results/phase2c/GSE173706_sample_metadata_audit.tsv	YES
V5-004	Clinical confounding	Clinical-confounder audit details needed restoration	MAJOR	YES	NO	Restored covariates, model, standardization, partial R2 and FDR description	results/phase1b/factor_confounding.tsv	YES
V5-005	Discrete clustering	PCA, bootstrap and stability details needed stronger reproducibility	MAJOR	YES	NO	Added exact k range, PCA/clustering and bootstrap criteria	src/phase1_smoke_test.py; main manuscript numeric lock	YES
V5-006	MOFA	Seed and training-parameter details needed explicit reporting	MAJOR	YES	NO	Added seeds, factor count, training iterations and feature-selection details	src/integration/phase1b_molecular_axes.py	YES
V5-007	Program construction	CORE/EXTENDED and top-feature rules needed explicit definition	MAJOR	YES	NO	Added top 30 loading-ranked feature rule and CORE/EXTENDED gene counts	src/integration/phase2a_strict_axis_freeze.py; results/phase2a/axis_gene_programs/	YES
V5-008	Single-cell	Donor-level unit and bootstrap rules needed clearer boundary	MAJOR	YES	NO	Restored donor-level scoring, Wilcoxon/sign-flip/bootstrap and FDR details	src/integration/phase2b_gse228421_single_cell_localization.py	YES
V5-009	Spatial	Spatial marker/program definition and cross-dataset consistency needed audit	MAJOR	YES	NO	Generated marker-consistency audit and replaced ambiguous wording with contextualization	manuscript/supplementary_data/Supplementary_Data_4_complete_spatial_marker_program_correlation_matrix.tsv	YES
V5-010	MAGMA	Matched-null sampling and empirical P formula needed exact description	MAJOR	YES	NO	Added chromosome/gene-length/NSNP matching and empirical P formula	src/genetics/phase3a_matched_null.py; src/genetics/phase3a_summarize.py	YES
V5-011	LAVA	Sample-overlap matrix could be misread as literal overlap counts	MAJOR	YES	NO	Defined entries as LDSC cross-trait-intercept-informed parameters	src/genetics/phase4b_prepare_lava_inputs.py	YES
V5-012	LAVA	Figure 5 FDR definition and LD-reference tier definitions needed synchronization	MAJOR	YES	NO	Generated Figure 5 definition sync report	src/genetics/phase4b_summarize_lava.py; src/genetics/phase4br_compare_ld_reference.py; Figure 5 source data	YES
V5-013	SMR	Primary and sensitivity probe windows needed exact distinction	MAJOR	YES	NO	Clarified locus-boundary primary windows and ±2 Mb probe-centered sensitivity windows	results/phase4c_smr/	YES
V5-014	SMR	HEIDI missingness required non-overclaiming language	MAJOR	YES	NO	Added HEIDI pass/fail/not-evaluable counts	results/phase4c_smr/phase4c_smr1_all_results.tsv	YES
V5-015	Coloc	Coloc causal wording and priors needed final tightening	MAJOR	YES	NO	Reworded as compatibility under model and added priors	results/phase4d_coloc/	YES
V5-016	Supplementary files	Supplementary Figures S1-S6 needed actual file-existence audit	BLOCKING	YES	NO	Generated S1-S6 figure files, legends and source data	manuscript/supplementary_figures/	YES
V5-017	Main-supplement sync	Dataset coverage and claim strength needed final consistency audit	BLOCKING	YES	NO	Generated dataset and claim synchronization reports	main manuscript v10 and v5 supplementary methods	YES
V5-018	Style	Repository paths should not appear in publication-facing supplementary index except reproducibility table	STYLE	YES	NO	Kept Methods index human-readable and preserved code paths only in Supplementary Table S8	Supplementary Methods v5	YES
