control	iteration	silhouette	observed_silhouette	empirical_p_greater_equal_observed
feature_value_permutation	0	0.13650221841632734	0.20167016057661705	0.0
feature_value_permutation	1	0.1398005440875755	0.20167016057661705	0.0
feature_value_permutation	2	0.15501939160179634	0.20167016057661705	0.0
feature_value_permutation	3	0.14740699072914543	0.20167016057661705	0.0
feature_value_permutation	4	0.1462302488290157	0.20167016057661705	0.0
feature_value_permutation	5	0.17744149607165638	0.20167016057661705	0.0
feature_value_permutation	6	0.13998349639351568	0.20167016057661705	0.0
feature_value_permutation	7	0.14676882506351008	0.20167016057661705	0.0
feature_value_permutation	8	0.15515132918951652	0.20167016057661705	0.0
feature_value_permutation	9	0.15325092727194412	0.20167016057661705	0.0
feature_value_permutation	10	0.13473313178785448	0.20167016057661705	0.0
feature_value_permutation	11	0.1423806839905245	0.20167016057661705	0.0
feature_value_permutation	12	0.15253342605786607	0.20167016057661705	0.0
feature_value_permutation	13	0.15464643216002708	0.20167016057661705	0.0
feature_value_permutation	14	0.15404319719785406	0.20167016057661705	0.0
feature_value_permutation	15	0.14784976682800913	0.20167016057661705	0.0
feature_value_permutation	16	0.14806432773546738	0.20167016057661705	0.0
feature_value_permutation	17	0.14481420013670196	0.20167016057661705	0.0
feature_value_permutation	18	0.18028285052269008	0.20167016057661705	0.0
feature_value_permutation	19	0.14006313746576304	0.20167016057661705	0.0
feature_value_permutation	20	0.13958696957428218	0.20167016057661705	0.0
feature_value_permutation	21	0.14124440439221267	0.20167016057661705	0.0
feature_value_permutation	22	0.14621264642996715	0.20167016057661705	0.0
feature_value_permutation	23	0.1326510436439632	0.20167016057661705	0.0
feature_value_permutation	24	0.1418414866119144	0.20167016057661705	0.0
feature_value_permutation	25	0.13774041212432958	0.20167016057661705	0.0
feature_value_permutation	26	0.15233765940715943	0.20167016057661705	0.0
feature_value_permutation	27	0.13823486682202626	0.20167016057661705	0.0
feature_value_permutation	28	0.15200940412135014	0.20167016057661705	0.0
feature_value_permutation	29	0.15271722419065972	0.20167016057661705	0.0
feature_value_permutation	30	0.14055582155244864	0.20167016057661705	0.0
feature_value_permutation	31	0.15424437794357698	0.20167016057661705	0.0
feature_value_permutation	32	0.148964287224189	0.20167016057661705	0.0
feature_value_permutation	33	0.15590826023354673	0.20167016057661705	0.0
feature_value_permutation	34	0.16124950819919276	0.20167016057661705	0.0
feature_value_permutation	35	0.14826547013167687	0.20167016057661705	0.0
feature_value_permutation	36	0.14652283087115803	0.20167016057661705	0.0
feature_value_permutation	37	0.14442734319790984	0.20167016057661705	0.0
feature_value_permutation	38	0.14991097920306784	0.20167016057661705	0.0
feature_value_permutation	39	0.14395974719868718	0.20167016057661705	0.0
feature_value_permutation	40	0.1413317518827815	0.20167016057661705	0.0
feature_value_permutation	41	0.1568956153748012	0.20167016057661705	0.0
feature_value_permutation	42	0.13668317144407988	0.20167016057661705	0.0
feature_value_permutation	43	0.1413748284724518	0.20167016057661705	0.0
feature_value_permutation	44	0.15633531692116703	0.20167016057661705	0.0
feature_value_permutation	45	0.1594814499389186	0.20167016057661705	0.0
feature_value_permutation	46	0.1445167472264548	0.20167016057661705	0.0
feature_value_permutation	47	0.16211680122274322	0.20167016057661705	0.0
feature_value_permutation	48	0.14903139815975375	0.20167016057661705	0.0
feature_value_permutation	49	0.14586713574192214	0.20167016057661705	0.0
