endotype	ensembl_gene	discovery_delta_effect	replication_delta_effect
E1	ENSG00000221932	3.904315795075158	3.2414705075263197
E1	ENSG00000184210	3.482634276483165	1.9665915251641648
E1	ENSG00000138207	3.458211937952974	2.5683219274086686
E1	ENSG00000174697	3.3763662407244484	3.034742291125542
E1	ENSG00000184601	3.3557783834795156	2.7922755574340576
E1	ENSG00000151365	3.33083537171549	2.6618623168561086
E1	ENSG00000184811	3.2977751646248	3.1147554661669528
E1	ENSG00000167588	3.2673131726528255	2.965338878422139
E1	ENSG00000181092	3.2365652585990103	2.765903820889906
E1	ENSG00000187288	3.2135588680438	2.780964899939643
E1	ENSG00000166819	3.1810075142675625	2.5692023064294007
E1	ENSG00000170262	3.169211982054911	2.5943597769289157
E1	ENSG00000170323	3.115127878407161	2.5667784887962917
E1	ENSG00000124253	3.0959277048079903	2.673995045726885
E1	ENSG00000135447	3.073141491906739	2.488257156867973
E1	ENSG00000000005	3.0120076817417427	2.7317544550000914
E1	ENSG00000133317	3.008622937116584	2.7717075551530677
E1	ENSG00000124875	-2.924038583603926	-2.166600080483124
E1	ENSG00000099985	-2.915930469904391	-2.1483040142455043
E1	ENSG00000167676	2.891779146251279	2.768797564279938
E1	ENSG00000147160	2.846581759494754	1.7864822787223065
E1	ENSG00000186393	2.839036131147876	1.2151577505545876
E1	ENSG00000173641	2.8245878679769114	1.9933348176012673
E1	ENSG00000162877	2.793595066455742	1.6723681168356297
E1	ENSG00000167434	2.7931089649722947	2.6815500029000034
E2	ENSG00000221932	-3.904315795075158	-3.2414705075263197
E2	ENSG00000184210	-3.482634276483165	-1.9665915251641648
E2	ENSG00000138207	-3.458211937952974	-2.5683219274086686
E2	ENSG00000174697	-3.3763662407244484	-3.034742291125542
E2	ENSG00000184601	-3.3557783834795156	-2.7922755574340576
E2	ENSG00000151365	-3.33083537171549	-2.6618623168561086
E2	ENSG00000184811	-3.2977751646248	-3.1147554661669528
E2	ENSG00000167588	-3.2673131726528255	-2.965338878422139
E2	ENSG00000181092	-3.2365652585990103	-2.765903820889906
E2	ENSG00000187288	-3.2135588680438	-2.780964899939643
E2	ENSG00000166819	-3.1810075142675625	-2.5692023064294007
E2	ENSG00000170262	-3.169211982054911	-2.5943597769289157
E2	ENSG00000170323	-3.115127878407161	-2.5667784887962917
E2	ENSG00000124253	-3.0959277048079903	-2.673995045726885
E2	ENSG00000135447	-3.073141491906739	-2.488257156867973
E2	ENSG00000000005	-3.0120076817417427	-2.7317544550000914
E2	ENSG00000133317	-3.008622937116584	-2.7717075551530677
E2	ENSG00000124875	2.924038583603926	2.166600080483124
E2	ENSG00000099985	2.915930469904391	2.1483040142455043
E2	ENSG00000167676	-2.891779146251279	-2.768797564279938
E2	ENSG00000147160	-2.846581759494754	-1.7864822787223065
E2	ENSG00000186393	-2.839036131147876	-1.2151577505545876
E2	ENSG00000173641	-2.8245878679769114	-1.9933348176012673
E2	ENSG00000162877	-2.793595066455742	-1.6723681168356297
E2	ENSG00000167434	-2.7931089649722947	-2.6815500029000034
