locus	chr	start	stop	outcome	status
47	1	54771294	55727134	cad	OK
101	1	114664388	116207297	cad	OK
110	1	151146408	152535630	cad	OK
347	2	161432090	163607635	cad	OK
97	1	110224231	111134062	cad	OK
2182	17	8554764	9619356	cad	OK
438	3	16084006	17182494	cad	OK
269	2	62429911	63672118	cad	OK
431	3	8664893	9970731	cad	OK
893	5	141253831	142532956	cad	OK
1913	13	73114510	74437635	cad	OK
126	1	168179087	169521551	cad	OK
785	5	9203856	10549029	cad	OK
2351	19	45040933	45893307	cad	OK
2450	21	35729262	37303548	cad	OK
1191	7	105312564	106399739	cad	OK
313	2	121073753	122026817	cad	OK
155	1	201067953	202583884	cad	OK
2138	16	57119890	58508978	cad	OK
113	1	154685546	156813845	cad	OK
