locus	chr	start	stop	outcome	status
2022	14	95946793	97174314	cad	OK
1223	7	149843000	150897818	cad	OK
2220	17	62112374	63548724	cad	OK
2050	15	40604781	42332685	cad	OK
2076	15	74458114	76401952	cad	OK
1215	7	138755108	140217630	cad	OK
2072	15	69089816	70767983	cad	OK
1965	14	32382246	33591113	cad	OK
2469	22	23950733	25282436	cad	OK
2135	16	53393883	54866095	cad	OK
2422	20	56951774	57924037	cad	OK
1424	9	78630916	79451035	cad	OK
2284	18	55809316	56832312	cad	OK
2048	15	37962916	39238840	cad	OK
1554	10	72659224	73514214	cad	OK
2169	16	86748868	87669168	cad	OK
1073	6	150635316	151629954	cad	OK
251	2	45850048	46499326	cad	OK
1850	12	121817510	123396634	cad	OK
1846	12	117091844	118256124	cad	OK
