phen	h2.obs	h2.latent	ascertained	p	locus	chr	start	stop	outcome
psoriasis	0.00091769	0.00321017	FALSE	3.22618e-06	40	1	43512670	45167235	cad
cad	0.000166063	0.00032238	FALSE	6.65479e-06	40	1	43512670	45167235	cad
psoriasis	0.000871643	0.00304909	FALSE	2.22718e-05	2379	20	9279551	10279603	cad
cad	0.000146462	0.000284328	FALSE	0.000107389	2379	20	9279551	10279603	cad
psoriasis	0.000989895	0.00346275	FALSE	1.4716e-05	768	4	184338585	185483262	cad
cad	0.000276978	0.000537702	FALSE	1.76781e-09	768	4	184338585	185483262	cad
psoriasis	0.00170815	0.00597528	FALSE	1.89521e-18	1555	10	73514215	75694023	cad
cad	0.000128131	0.000248742	FALSE	1.26806e-05	1555	10	73514215	75694023	cad
psoriasis	0.00132821	0.00464619	FALSE	2.30889e-08	2167	16	85146806	86058597	cad
cad	0.000193987	0.00037659	FALSE	4.42962e-06	2167	16	85146806	86058597	cad
psoriasis	0.00120507	0.00421545	FALSE	1.84766e-07	781	5	4636543	5828694	cad
cad	0.000185292	0.000359709	FALSE	9.2378e-06	781	5	4636543	5828694	cad
psoriasis	0.000718228	0.00251243	FALSE	2.24664e-05	335	2	144503689	145977920	cad
cad	0.000269829	0.000523822	FALSE	2.78904e-13	335	2	144503689	145977920	cad
psoriasis	0.000956913	0.00334737	FALSE	1.03049e-05	1389	9	14244748	14902924	cad
cad	0.00024284	0.000471429	FALSE	1.13407e-08	1389	9	14244748	14902924	cad
psoriasis	0.00132778	0.0046447	FALSE	2.9957e-11	2355	19	48573066	49415189	cad
cad	0.000164268	0.000318896	FALSE	1.40703e-06	2355	19	48573066	49415189	cad
psoriasis	0.0010023	0.00350615	FALSE	1.1045e-05	915	5	166863414	168342743	cad
cad	0.00020691	0.000401677	FALSE	1.96397e-06	915	5	166863414	168342743	cad
psoriasis	0.00142838	0.00499663	FALSE	1.60527e-09	2232	17	75619257	76596287	cad
cad	0.000183551	0.000356331	FALSE	8.80922e-06	2232	17	75619257	76596287	cad
psoriasis	0.000958667	0.00335351	FALSE	5.16615e-06	2231	17	74908267	75619256	cad
cad	0.000174969	0.00033967	FALSE	7.84663e-06	2231	17	74908267	75619256	cad
psoriasis	0.00110566	0.00386771	FALSE	4.58652e-07	2039	15	26392948	27563172	cad
cad	0.000168348	0.000326815	FALSE	1.98791e-05	2039	15	26392948	27563172	cad
psoriasis	0.00112845	0.00394744	FALSE	6.03075e-07	1856	12	128372589	129170296	cad
cad	0.000193423	0.000375495	FALSE	2.54317e-06	1856	12	128372589	129170296	cad
psoriasis	0.001733	0.00606219	FALSE	3.3194e-13	1037	6	106053916	107309327	cad
cad	0.000214197	0.000415823	FALSE	2.34416e-07	1037	6	106053916	107309327	cad
psoriasis	0.00109904	0.00384456	FALSE	1.53758e-07	897	5	147180172	148662214	cad
cad	0.000174551	0.000338858	FALSE	4.1623e-06	897	5	147180172	148662214	cad
psoriasis	0.000949183	0.00332033	FALSE	1.09713e-05	1119	7	20122180	21390644	cad
cad	0.000239318	0.000464591	FALSE	2.34171e-08	1119	7	20122180	21390644	cad
psoriasis	0.000767698	0.00268548	FALSE	1.81247e-05	1568	10	88443653	89971628	cad
cad	0.00020882	0.000405386	FALSE	8.68098e-09	1568	10	88443653	89971628	cad
