phen	h2.obs	h2.latent	ascertained	p	locus	chr	start	stop	outcome
psoriasis	0.00377104	0.0131914	FALSE	2.02845e-47	907	5	157191082	158484775	cad
cad	0.000183256	0.000355758	FALSE	2.00674e-07	907	5	157191082	158484775	cad
psoriasis	0.00122774	0.00429474	FALSE	1.27602e-08	2449	21	34383795	35729261	cad
cad	0.000428847	0.000832526	FALSE	1.40431e-20	2449	21	34383795	35729261	cad
psoriasis	0.00100654	0.00352097	FALSE	3.85963e-07	88	1	101188316	102424611	cad
cad	0.000219939	0.00042697	FALSE	8.97541e-09	88	1	101188316	102424611	cad
psoriasis	0.00118085	0.00413072	FALSE	7.02877e-07	1852	12	124843769	126079935	cad
cad	0.000505722	0.000981766	FALSE	3.16732e-22	1852	12	124843769	126079935	cad
psoriasis	0.00116705	0.00408247	FALSE	1.79207e-08	945	6	21295865	22199713	cad
cad	0.000188137	0.000365234	FALSE	5.58629e-07	945	6	21295865	22199713	cad
psoriasis	0.000968614	0.0033883	FALSE	2.01637e-07	1544	10	62626466	64069687	cad
cad	0.000168854	0.000327799	FALSE	1.05199e-06	1544	10	62626466	64069687	cad
psoriasis	0.00137954	0.00482578	FALSE	9.79296e-11	652	4	55681702	57103100	cad
cad	0.000203397	0.000394858	FALSE	9.19947e-08	652	4	55681702	57103100	cad
psoriasis	0.00110038	0.00384924	FALSE	1.22838e-07	2181	17	7264459	8554763	cad
cad	0.000174611	0.000338975	FALSE	3.95335e-06	2181	17	7264459	8554763	cad
psoriasis	0.00115731	0.00404837	FALSE	7.4088e-07	584	3	186602046	187939199	cad
cad	0.000251451	0.000488146	FALSE	2.62802e-08	584	3	186602046	187939199	cad
psoriasis	0.00113795	0.00398067	FALSE	6.07638e-07	2162	16	81437862	82310204	cad
cad	0.000570305	0.00110714	FALSE	5.692e-28	2162	16	81437862	82310204	cad
psoriasis	0.00128296	0.00448792	FALSE	4.71701e-08	2369	20	60795	884241	cad
cad	0.000214237	0.000415901	FALSE	5.77767e-07	2369	20	60795	884241	cad
psoriasis	0.00107374	0.00375606	FALSE	5.34193e-07	2314	19	6455429	7249359	cad
cad	0.000215232	0.000417833	FALSE	5.78659e-08	2314	19	6455429	7249359	cad
psoriasis	0.00117106	0.00409648	FALSE	6.45605e-07	2094	15	94565522	95662425	cad
cad	0.000255973	0.000496924	FALSE	1.63158e-08	2094	15	94565522	95662425	cad
psoriasis	0.00277758	0.00971623	FALSE	1.34176e-24	2471	22	26166935	27192923	cad
cad	0.000204006	0.000396039	FALSE	1.52013e-06	2471	22	26166935	27192923	cad
psoriasis	0.00113229	0.00396086	FALSE	2.3638e-07	938	6	15069422	16566882	cad
cad	0.000231598	0.000449604	FALSE	3.19419e-08	938	6	15069422	16566882	cad
psoriasis	0.00100084	0.00350102	FALSE	3.33019e-06	2106	16	4816146	5782968	cad
cad	0.000193683	0.000376	FALSE	1.77873e-06	2106	16	4816146	5782968	cad
psoriasis	0.00122495	0.00428498	FALSE	1.26906e-07	2095	15	95662426	96864278	cad
cad	0.000266107	0.000516597	FALSE	2.57783e-09	2095	15	95662426	96864278	cad
psoriasis	0.000955406	0.0033421	FALSE	1.18048e-06	1671	11	60515106	61717117	cad
cad	0.000249647	0.000484643	FALSE	1.83222e-10	1671	11	60515106	61717117	cad
psoriasis	0.0010491	0.00366984	FALSE	1.0782e-06	638	4	37880861	38984838	cad
cad	0.000271737	0.000527527	FALSE	2.78938e-10	638	4	37880861	38984838	cad
psoriasis	0.00103664	0.00362628	FALSE	2.26007e-07	1740	12	60317	1078397	cad
cad	0.000229817	0.000446147	FALSE	3.0251e-09	1740	12	60317	1078397	cad
