phen	h2.obs	h2.latent	ascertained	p	locus	chr	start	stop	outcome
psoriasis	0.00571835	0.0200033	FALSE	1.56186e-65	926	6	63979	1380679	cad
cad	0.000212951	0.000413405	FALSE	1.66196e-06	926	6	63979	1380679	cad
psoriasis	0.000956688	0.00334659	FALSE	6.4308e-06	1873	13	28587126	30068525	cad
cad	0.000285748	0.000554725	FALSE	3.96374e-11	1873	13	28587126	30068525	cad
psoriasis	0.00185767	0.0064983	FALSE	1.75763e-12	603	4	5972710	7135819	cad
cad	0.000242516	0.0004708	FALSE	1.38347e-07	603	4	5972710	7135819	cad
psoriasis	0.000851137	0.00297736	FALSE	8.51313e-06	1072	6	149278799	150635315	cad
cad	0.000205518	0.000398974	FALSE	5.20374e-08	1072	6	149278799	150635315	cad
psoriasis	0.00138713	0.00485233	FALSE	1.4411e-09	2482	22	37364005	38718589	cad
cad	0.000173711	0.000337227	FALSE	1.34055e-05	2482	22	37364005	38718589	cad
psoriasis	0.00327176	0.0114449	FALSE	8.79524e-40	2412	20	48212976	49236418	cad
cad	0.000170016	0.000330054	FALSE	7.11555e-07	2412	20	48212976	49236418	cad
psoriasis	0.00175113	0.00612562	FALSE	2.09285e-14	1493	10	6234719	6897037	cad
cad	0.000172709	0.000335281	FALSE	5.02961e-06	1493	10	6234719	6897037	cad
psoriasis	0.00261103	0.00913362	FALSE	6.52171e-25	1733	11	128262551	129451784	cad
cad	0.000169044	0.000328167	FALSE	1.10359e-05	1733	11	128262551	129451784	cad
psoriasis	0.000861	0.00301186	FALSE	1.08439e-05	974	6	38688721	39785907	cad
cad	0.000216966	0.000421199	FALSE	2.54826e-08	974	6	38688721	39785907	cad
psoriasis	0.00280782	0.00982202	FALSE	1.68894e-30	854	5	95117260	96467377	cad
cad	0.000156881	0.000304555	FALSE	8.22276e-06	854	5	95117260	96467377	cad
psoriasis	0.00112724	0.0039432	FALSE	5.91951e-07	221	2	15721704	17241115	cad
cad	0.000233659	0.000453606	FALSE	5.89794e-08	221	2	15721704	17241115	cad
psoriasis	0.00172171	0.0060227	FALSE	1.87706e-17	1732	11	127306872	128262550	cad
cad	0.000164616	0.000319572	FALSE	4.88697e-07	1732	11	127306872	128262550	cad
psoriasis	0.00117805	0.00412094	FALSE	4.14981e-08	275	2	68877775	70756283	cad
cad	0.000177555	0.00034469	FALSE	4.74878e-06	275	2	68877775	70756283	cad
psoriasis	0.00148477	0.00519388	FALSE	1.02247e-10	581	3	183203156	184524268	cad
cad	0.000198078	0.00038453	FALSE	1.09072e-06	581	3	183203156	184524268	cad
psoriasis	0.00100177	0.00350428	FALSE	2.70358e-06	2274	18	45718493	46558306	cad
cad	0.000247348	0.000480179	FALSE	5.04536e-09	2274	18	45718493	46558306	cad
psoriasis	0.00103771	0.00363	FALSE	1.67876e-06	936	6	11790672	13352326	cad
cad	0.00122509	0.00237828	FALSE	1.17044e-84	936	6	11790672	13352326	cad
psoriasis	0.00101564	0.00355281	FALSE	8.33613e-06	1353	8	128073655	129291118	cad
cad	0.000344059	0.000667927	FALSE	5.29368e-13	1353	8	128073655	129291118	cad
psoriasis	0.00113006	0.00395304	FALSE	3.56023e-07	1267	8	21650454	22895018	cad
cad	0.000253345	0.000491822	FALSE	3.85368e-09	1267	8	21650454	22895018	cad
psoriasis	0.0010863	0.00379999	FALSE	2.94419e-06	2165	16	83778372	84440154	cad
cad	0.000177338	0.000344269	FALSE	3.25926e-05	2165	16	83778372	84440154	cad
psoriasis	0.00119789	0.00419034	FALSE	1.63506e-08	271	2	64696090	65938002	cad
cad	0.000167806	0.000325764	FALSE	7.92954e-06	271	2	64696090	65938002	cad
