locus	chr	start	stop	outcome	status
907	5	157191082	158484775	cad	OK
2449	21	34383795	35729261	cad	OK
88	1	101188316	102424611	cad	OK
1852	12	124843769	126079935	cad	OK
945	6	21295865	22199713	cad	OK
1544	10	62626466	64069687	cad	OK
652	4	55681702	57103100	cad	OK
2181	17	7264459	8554763	cad	OK
584	3	186602046	187939199	cad	OK
2162	16	81437862	82310204	cad	OK
2369	20	60795	884241	cad	OK
2314	19	6455429	7249359	cad	OK
2094	15	94565522	95662425	cad	OK
2471	22	26166935	27192923	cad	OK
938	6	15069422	16566882	cad	OK
2106	16	4816146	5782968	cad	OK
2095	15	95662426	96864278	cad	OK
1671	11	60515106	61717117	cad	OK
638	4	37880861	38984838	cad	OK
1740	12	60317	1078397	cad	OK
