locus	chr	start	stop	outcome	status
2318	19	10028841	11681978	cad	OK
1674	11	64594823	66782661	cad	OK
1351	8	125453323	126766827	cad	OK
1841	12	111592382	113947983	cad	OK
36	1	38474037	40200950	cad	OK
1559	10	79952997	81190573	cad	OK
927	6	1380680	2746531	cad	OK
1453	9	109150718	110630150	cad	OK
2026	14	99474534	100786189	cad	OK
1569	10	89971629	91021321	cad	OK
898	5	148662215	149850203	cad	OK
112	1	153410810	154685545	cad	OK
906	5	156345452	157191081	cad	OK
2230	17	73741322	74908266	cad	OK
1966	14	33591114	34695195	cad	OK
1209	7	130418705	131856481	cad	OK
2432	21	15840034	16873443	cad	OK
267	2	59251997	60775066	cad	OK
2205	17	40233546	42348003	cad	OK
970	6	33864263	34979270	cad	OK
