phen	h2.obs	h2.latent	ascertained	p	locus	chr	start	stop	outcome
psoriasis	0.0010792	0.00377516	FALSE	1.6265e-06	2022	14	95946793	97174314	cad
cad	0.000240204	0.000466311	FALSE	3.23293e-08	2022	14	95946793	97174314	cad
psoriasis	0.000857546	0.00299978	FALSE	1.69535e-06	1223	7	149843000	150897818	cad
cad	0.000175014	0.000339756	FALSE	3.39727e-07	1223	7	149843000	150897818	cad
psoriasis	0.00102382	0.00358143	FALSE	3.29268e-08	2220	17	62112374	63548724	cad
cad	0.000160289	0.000311171	FALSE	1.3554e-06	2220	17	62112374	63548724	cad
psoriasis	0.000859409	0.0030063	FALSE	2.19712e-06	2050	15	40604781	42332685	cad
cad	0.000181283	0.000351928	FALSE	2.07775e-07	2050	15	40604781	42332685	cad
psoriasis	0.000838615	0.00293356	FALSE	3.41366e-06	2076	15	74458114	76401952	cad
cad	0.00016175	0.000314008	FALSE	2.0073e-06	2076	15	74458114	76401952	cad
psoriasis	0.0010378	0.00363034	FALSE	1.0113e-06	1215	7	138755108	140217630	cad
cad	0.000257363	0.000499623	FALSE	8.60972e-10	1215	7	138755108	140217630	cad
psoriasis	0.00154866	0.00541735	FALSE	2.27027e-10	2072	15	69089816	70767983	cad
cad	0.000258756	0.000502326	FALSE	7.25502e-09	2072	15	69089816	70767983	cad
psoriasis	0.00114095	0.00399114	FALSE	1.06967e-06	1965	14	32382246	33591113	cad
cad	0.000369777	0.000717852	FALSE	1.98907e-14	1965	14	32382246	33591113	cad
psoriasis	0.000880249	0.00307919	FALSE	1.37379e-06	2469	22	23950733	25282436	cad
cad	0.000329427	0.000639522	FALSE	8.83718e-17	2469	22	23950733	25282436	cad
psoriasis	0.00143011	0.00500267	FALSE	3.32763e-09	2135	16	53393883	54866095	cad
cad	0.000220662	0.000428374	FALSE	4.82706e-07	2135	16	53393883	54866095	cad
psoriasis	0.00128068	0.00447993	FALSE	4.82018e-09	2422	20	56951774	57924037	cad
cad	0.000185322	0.000359768	FALSE	2.15496e-06	2422	20	56951774	57924037	cad
psoriasis	0.00105614	0.00369448	FALSE	7.57449e-07	1424	9	78630916	79451035	cad
cad	0.000187302	0.000363612	FALSE	2.61511e-06	1424	9	78630916	79451035	cad
psoriasis	0.00104569	0.00365793	FALSE	2.32232e-07	2284	18	55809316	56832312	cad
cad	0.000193746	0.000376121	FALSE	3.52041e-07	2284	18	55809316	56832312	cad
psoriasis	0.00125614	0.0043941	FALSE	1.24664e-08	2048	15	37962916	39238840	cad
cad	0.000193895	0.000376412	FALSE	1.16836e-06	2048	15	37962916	39238840	cad
psoriasis	0.00116187	0.00406435	FALSE	2.3798e-07	1554	10	72659224	73514214	cad
cad	0.000238981	0.000463937	FALSE	2.84917e-08	1554	10	72659224	73514214	cad
psoriasis	0.00110271	0.00385739	FALSE	1.60217e-06	2169	16	86748868	87669168	cad
cad	0.000175954	0.000341581	FALSE	2.42954e-05	2169	16	86748868	87669168	cad
psoriasis	0.0010703	0.003744	FALSE	1.49675e-06	1073	6	150635316	151629954	cad
cad	0.000325011	0.000630949	FALSE	1.08661e-12	1073	6	150635316	151629954	cad
psoriasis	0.000983232	0.00343944	FALSE	3.79871e-06	251	2	45850048	46499326	cad
cad	0.000231556	0.000449522	FALSE	3.0367e-08	251	2	45850048	46499326	cad
psoriasis	0.00134113	0.00469141	FALSE	1.19259e-12	1850	12	121817510	123396634	cad
cad	0.000143914	0.000279383	FALSE	4.14676e-06	1850	12	121817510	123396634	cad
psoriasis	0.00123941	0.00433556	FALSE	3.06747e-08	1846	12	117091844	118256124	cad
cad	0.000182907	0.00035508	FALSE	4.7713e-06	1846	12	117091844	118256124	cad
