locus	chr	start	stop	outcome	status
40	1	43512670	45167235	cad	OK
2379	20	9279551	10279603	cad	OK
768	4	184338585	185483262	cad	OK
1555	10	73514215	75694023	cad	OK
2167	16	85146806	86058597	cad	OK
781	5	4636543	5828694	cad	OK
335	2	144503689	145977920	cad	OK
1389	9	14244748	14902924	cad	OK
2355	19	48573066	49415189	cad	OK
915	5	166863414	168342743	cad	OK
2232	17	75619257	76596287	cad	OK
2231	17	74908267	75619256	cad	OK
2039	15	26392948	27563172	cad	OK
1856	12	128372589	129170296	cad	OK
1037	6	106053916	107309327	cad	OK
897	5	147180172	148662214	cad	OK
1119	7	20122180	21390644	cad	OK
1568	10	88443653	89971628	cad	OK
