outcome	primary_gwas	primary_source_url	primary_id_or_accession	backup_gwas	backup_source_url	backup_id_or_accession	ancestry	primary_sample_size	reported_variant_count_or_scope	genome_build_status	summary_statistics_status	download_status	overlap_risk	phase4a_decision	notes
Psoriasis	Dand_2025_psoriasis_GWAS_meta_analysis	https://www.ebi.ac.uk/gwas/studies/GCST90472771	GCST90472771	NA	NA	NA	European	36466 cases; 458078 controls	11808957 variants	Downloaded source requires harmonization to LDSC/HapMap3	Available; already downloaded and QCed in Phase 3A	complete	Exposure may overlap UKB/Estonian/other biobank-derived outcome GWAS; cross-trait intercept required	locked_exposure	Use as only Phase 4A exposure; not an axis exposure
Psoriatic arthritis	Soomro_2022_PsA_vs_controls	https://www.ebi.ac.uk/gwas/studies/GCST90243956	GCST90243956	Soomro_2022_PsA_vs_cutaneous_psoriasis	https://www.ebi.ac.uk/gwas/studies/GCST90243957	GCST90243957	European	5065 cases; 21286 controls	8558403 variants	build_to_verify_from_header	full_summary_statistics_available_GWAS_Catalog	header_download_pending	High: PsA and psoriasis cohorts may share BSTOP/UKB/related samples; interpret cross-trait intercept carefully	primary_locked	PsA is positive-control-like comorbidity; backup is not suitable for main rg because comparator is PsC rather than controls
Crohn disease	deLange_2017_Crohn_disease_European	https://kp4cd.org/node/883	deLange2017_CD_EU_or_GWAS_IBDGenetics_eu	Liu_or_IIBDGC_older_CD_GWAS	https://www.ibdgenetics.org/	exact_accession_pending	European	subtype_N_pending_file_README; source population includes 25042 IBD cases and 34915 controls	genome-wide_summary_statistics	build_to_verify_from_header	summary_statistics_reported_available_from_GWAS_Catalog_or_KP	header_download_pending	Moderate: possible UK/European cohort overlap with psoriasis GWAS unknown	primary_locked_pending_file_ID	Use CD subtype file, not combined IBD, for primary outcome
Ulcerative colitis	deLange_2017_ulcerative_colitis_European	https://kp4cd.org/node/883	deLange2017_UC_EU_or_GWAS_IBDGenetics_eu	Liu_or_IIBDGC_older_UC_GWAS	https://www.ibdgenetics.org/	exact_accession_pending	European	subtype_N_pending_file_README; source population includes 25042 IBD cases and 34915 controls	genome-wide_summary_statistics	build_to_verify_from_header	summary_statistics_reported_available_from_GWAS_Catalog_or_KP	header_download_pending	Moderate: possible UK/European cohort overlap with psoriasis GWAS unknown	primary_locked_pending_file_ID	Use UC subtype file, not combined IBD, for primary outcome
Coronary artery disease	CARDIoGRAMplusC4D_UKBB_European_CAD_meta_analysis	https://kp4cd.org/node/348	GWAS_CADMETA_eu	CARDIoGRAMplusC4D_1000G_CAD	https://kp4cd.org/node/620	exact_accession_pending	European	122733 cases; 424528 controls	genome-wide_summary_statistics	build_to_verify_from_header	summary_statistics_reported_available_from_KP_or_CARDIoGRAM	header_download_pending	High if UK Biobank is included; cross-trait intercept required; backup 1000G release may reduce UKB overlap but is older	primary_locked_with_overlap_flag	Prefer larger European CADMETA for power unless overlap diagnostics fail
Ischemic stroke	MEGASTROKE_European_all_ischemic_stroke	https://kp4cd.org/node/581	GWAS_MEGASTROKE_eu	MEGASTROKE_all_ancestry	https://www.megastroke.org/	GWAS_MEGASTROKE	European	7193 cases; 355468 controls for GCST006910 European ischemic stroke; KP reports European subset available	about_8000000_variants	build_to_verify_from_header	full_summary_statistics_available_GWAS_Catalog_or_MEGASTROKE	header_download_pending	Moderate: some European cohorts may overlap with psoriasis cohorts; likely less than UKB-heavy outcomes	primary_locked	Use ischemic stroke, not all stroke or subtypes, for primary matrix
Type 2 diabetes	Mahajan_2022_DIAMANTE_T2D_European	https://kp4cd.org/node/872	Mahajan2022_T2D_EU	DIAMANTE_2018_European_T2D	https://kp4cd.org/node/169	GWAS_DIAMANTE_eu	European	80154 cases; 853816 controls	genome-wide_summary_statistics	build_to_verify_from_header	summary_statistics_download_available_or_terms_acknowledgement_required	header_download_pending	High: UKB may be included; do not use BMI-adjusted file as primary	primary_locked	Use unadjusted T2D associations for primary LDSC
MASLD	Ghodsian_2021_EHR_documented_NAFLD_meta_analysis	https://kp4cd.org/node/782	Ghodsian2021_EHR_NAFLD_or_GWAS_Catalog_ID_pending	Namjou_2019_eMERGE_NAFLD	https://www.ebi.ac.uk/gwas/studies/GCST008471	GCST008471	European_or_mixed_pending_source_file	primary_N_pending; backup GCST008471 has only 235 European individuals for activity score	primary_genome-wide_summary_statistics_reported; backup 7263501 variants	build_to_verify_from_header	primary_summary_statistics_reported_available_from_GWAS_Catalog; backup available but underpowered	header_download_pending	High: UKB/FinnGen/eMERGE components may overlap with psoriasis or other outcomes; phenotype is NAFLD not current MASLD	conditional_primary_pending	Do not use GCST008471 as primary; MASLD/NAFLD phenotype mapping must be explicit
Major depression	PGC_MDD2_2018_without_UKBB_23andMe	https://figshare.com/articles/dataset/MDD2_MDD2018_GWAS_sumstats_w_o_UKBB/21655784	MDD2_noUKBB_no23andMe	PGC_MDD_download_portal	https://pgc.unc.edu/for-researchers/download-results/	exact_current_release_pending	primarily_European_or_mixed_pending_file	PGC_MDD2_N_pending_file_README	genome-wide_summary_statistics	build_to_verify_from_header	public_figshare_summary_statistics_available	header_download_pending	Lower UKB overlap if no-UKBB file is used; residual PGC/UKB participant overlap note exists and must be recorded	primary_locked	Use no-UKBB/no-23andMe file to reduce overlap and access restrictions
Uveitis	FinnGen_or_FinnGen_Estonian_UKBB_anterior_uveitis_meta_analysis	https://www.finngen.fi/en/access_results	accession_pending_or_form_required	BBJ_uveitis	https://pheweb.jp/downloads	BBJ_uveitis	EUR_for_FinnGen_meta; EAS_for_BBJ	12205 anterior uveitis cases; 917145 controls for published meta-analysis; FinnGen exact file pending	genome-wide_summary_statistics_reported	build_to_verify_from_header	FinnGen_requires_access_form_or_endpoint_resolution; BBJ public but ancestry_mismatched	conditional_pending	High if UKB included in meta; BBJ cannot be primary for European LDSC	conditional_primary_pending	Do not run BBJ as primary with European LDSC; use as non-European sensitivity only if needed
