axis	program_type	refined_state	parent_cell_type	n_lesional_donors	n_healthy_donors	mean_lesional_minus_healthy	mannwhitney_p	fdr_by_program_type
F1	CORE	B_cell_plasma	B_cell	14	6	0.011881496950206683	0.9679566563467492	1.0
F1	CORE	B_cell_unresolved	B_cell	13	7	0.016290359989707348	0.437796697626419	0.7352263606133574
F1	CORE	T_cell_TRM_T17_like	T_cell	14	8	-0.04581978365551975	0.015942708821965787	0.17786135433194258
F1	CORE	T_cell_unresolved	T_cell	3	4	-0.0721177733683514	0.22857142857142856	0.5079365079365079
F1	CORE	cytotoxic_NK_T	NK_cell	14	7	-0.05086980167449556	0.01585827313381493	0.17786135433194258
F1	CORE	dendritic_LAMP3_CCR7	myeloid_monocyte	14	4	-0.01673215864569294	0.7980392156862743	0.9450549450549451
F1	CORE	endothelial_activated	endothelial	13	7	-0.0034714373723659375	0.6426470588235295	0.9140602986756834
F1	CORE	endothelial_vascular	endothelial	13	7	-0.0023310975569781345	1.0	1.0
F1	CORE	fibroblast_homeostatic_matrix	fibroblast	13	7	-0.023315257363137665	0.15743034055727553	0.4200435729847494
F1	CORE	fibroblast_inflammatory	fibroblast	11	6	-0.050151596197578974	0.04767291531997415	0.2275371687136393
F1	CORE	keratinocyte_IFN_response	keratinocyte	12	3	-0.15903142658521313	0.008791208791208791	0.1758241758241758
F1	CORE	keratinocyte_basal	keratinocyte	14	8	0.04282523634368168	0.012846733589767645	0.17786135433194258
F1	CORE	keratinocyte_inflammatory_T17	keratinocyte	14	6	0.08396426570776316	0.07574819401444788	0.2768799827623358
F1	CORE	keratinocyte_proliferative	keratinocyte	11	5	-0.016843620492967615	0.7426739926739928	0.9140602986756834
F1	CORE	keratinocyte_spinous_suprabasal	keratinocyte	14	8	0.013262978394352587	0.5251712168120837	0.7789848953935642
F1	CORE	keratinocyte_stress_hypoxia	keratinocyte	12	6	-0.043003831367829426	0.08306399482870072	0.2768799827623358
F1	CORE	mast_cell	mast_cell	11	7	-0.04729488053275749	0.24629210658622425	0.5325234736999443
F1	CORE	melanocyte_unresolved	melanocyte	14	8	0.02168478721185252	0.5251712168120837	0.7789848953935642
F1	CORE	myeloid_monocyte_macrophage	myeloid_monocyte	14	8	-0.02056159672255381	0.21185226881821312	0.4984759266310897
F1	CORE	unassigned_unresolved	unassigned	5	7	0.03464525255344897	0.20202020202020204	0.4984759266310897
F1	EXTENDED	B_cell_plasma	B_cell	14	6	-0.013356346848557354	0.9679566563467492	0.9927760577915377
F1	EXTENDED	B_cell_unresolved	B_cell	13	7	0.01682315710009391	0.437796697626419	0.6191379878849326
F1	EXTENDED	T_cell_TRM_T17_like	T_cell	14	8	-0.03617650409689993	0.010251117991056071	0.11715563418349796
F1	EXTENDED	T_cell_unresolved	T_cell	3	4	-0.09844796093641633	0.05714285714285714	0.22857142857142856
F1	EXTENDED	cytotoxic_NK_T	NK_cell	14	7	-0.03545538359806602	0.04609563123495012	0.22857142857142856
F1	EXTENDED	dendritic_LAMP3_CCR7	myeloid_monocyte	14	4	-0.013559335499862685	0.9588235294117646	0.9927760577915377
F1	EXTENDED	endothelial_activated	endothelial	13	7	-0.012011648793315843	0.3506965944272446	0.5537950990509724
F1	EXTENDED	endothelial_vascular	endothelial	13	7	-0.015344171025765296	0.24135706914344687	0.43883103480626706
F1	EXTENDED	fibroblast_homeostatic_matrix	fibroblast	13	7	-0.025100336056150252	0.06749226006191951	0.2344322344322344
F1	EXTENDED	fibroblast_inflammatory	fibroblast	11	6	-0.04182476232358601	0.0019392372333548802	0.0491273432449903
F1	EXTENDED	keratinocyte_IFN_response	keratinocyte	12	3	-0.1181575268594981	0.03076923076923077	0.18934911242603553
F1	EXTENDED	keratinocyte_basal	keratinocyte	14	8	0.022725039609965025	0.10997904744034775	0.27788723144760297
F1	EXTENDED	keratinocyte_inflammatory_T17	keratinocyte	14	6	0.0729403105347011	0.05067079463364293	0.22857142857142856
F1	EXTENDED	keratinocyte_proliferative	keratinocyte	11	5	-0.025205046222838035	0.5096153846153847	0.6794871794871795
F1	EXTENDED	keratinocyte_spinous_suprabasal	keratinocyte	14	8	-0.007543026630339622	0.616342996528755	0.7628524046434495
F1	EXTENDED	keratinocyte_stress_hypoxia	keratinocyte	12	6	-0.06032849344997482	0.024455936220642106	0.17786135433194258
F1	EXTENDED	mast_cell	mast_cell	11	7	-0.03962326877829511	0.05555555555555556	0.22857142857142856
F1	EXTENDED	melanocyte_unresolved	melanocyte	14	8	0.015026233334683892	0.8675548050161054	0.9484283044654562
F1	EXTENDED	myeloid_monocyte_macrophage	myeloid_monocyte	14	8	-0.016720166486735022	0.1875973355849517	0.34901829876270085
F1	EXTENDED	unassigned_unresolved	unassigned	5	7	0.022181315427926895	0.638888888888889	0.7628524046434495
F2	CORE	B_cell_plasma	B_cell	14	6	-0.005321166144608036	1.0	1.0
F2	CORE	B_cell_unresolved	B_cell	13	7	0.01984461725644833	0.437796697626419	0.7352263606133574
F2	CORE	T_cell_TRM_T17_like	T_cell	14	8	-0.025998257463687308	0.008124589548738155	0.1758241758241758
F2	CORE	T_cell_unresolved	T_cell	3	4	-0.07776112192293685	0.05714285714285714	0.24060150375939848
F2	CORE	cytotoxic_NK_T	NK_cell	14	7	-0.01750662992566762	0.07932576539387685	0.2768799827623358
F2	CORE	dendritic_LAMP3_CCR7	myeloid_monocyte	14	4	-0.006694306552427198	1.0	1.0
F2	CORE	endothelial_activated	endothelial	13	7	-0.009931872564643202	0.15743034055727553	0.4200435729847494
F2	CORE	endothelial_vascular	endothelial	13	7	-0.01712626203159212	0.0369453044375645	0.21111602535751142
F2	CORE	fibroblast_homeostatic_matrix	fibroblast	13	7	-0.021569401425480472	0.05567595459236326	0.24060150375939848
F2	CORE	fibroblast_inflammatory	fibroblast	11	6	-0.035939848143760306	0.0011312217194570135	0.045248868778280535
F2	CORE	keratinocyte_IFN_response	keratinocyte	12	3	-0.06797351903565763	0.04835164835164835	0.2275371687136393
F2	CORE	keratinocyte_basal	keratinocyte	14	8	0.009716206292731705	0.9203364918535197	0.9816922579770877
F2	CORE	keratinocyte_inflammatory_T17	keratinocyte	14	6	0.0507459733692151	0.02002063983488132	0.17786135433194258
F2	CORE	keratinocyte_proliferative	keratinocyte	11	5	-0.018195206823929305	0.7426739926739928	0.9140602986756834
F2	CORE	keratinocyte_spinous_suprabasal	keratinocyte	14	8	-0.011988356204480882	0.26669168464834103	0.5614561782070338
F2	CORE	keratinocyte_stress_hypoxia	keratinocyte	12	6	-0.04520602450795316	0.024455936220642106	0.17786135433194258
F2	CORE	mast_cell	mast_cell	11	7	-0.024783516051347723	0.2854449472096531	0.5855280968403139
F2	CORE	melanocyte_unresolved	melanocyte	14	8	0.003468604007112991	0.5251712168120837	0.7789848953935642
F2	CORE	myeloid_monocyte_macrophage	myeloid_monocyte	14	8	-0.005498784334454776	0.2973449666948119	0.5946899333896238
F2	CORE	unassigned_unresolved	unassigned	5	7	0.02177388331919604	0.5303030303030304	0.7789848953935642
F2	EXTENDED	B_cell_plasma	B_cell	14	6	-0.010633333435196068	0.6015479876160992	0.7628524046434495
F2	EXTENDED	B_cell_unresolved	B_cell	13	7	0.0064493112316633405	0.4854231166150671	0.6693472695466713
F2	EXTENDED	T_cell_TRM_T17_like	T_cell	14	8	-0.027848183408290733	0.010251117991056071	0.11715563418349796
F2	EXTENDED	T_cell_unresolved	T_cell	3	4	-0.07596437262104841	0.05714285714285714	0.22857142857142856
F2	EXTENDED	cytotoxic_NK_T	NK_cell	14	7	-0.024281013146025016	0.055624355005159956	0.22857142857142856
F2	EXTENDED	dendritic_LAMP3_CCR7	myeloid_monocyte	14	4	-0.020364188723109633	0.7209150326797384	0.8122986283715363
F2	EXTENDED	endothelial_activated	endothelial	13	7	-0.012723473324604995	0.13480392156862744	0.291467938526762
F2	EXTENDED	endothelial_vascular	endothelial	13	7	-0.017387179188241425	0.09680082559339526	0.27657378740970073
F2	EXTENDED	fibroblast_homeostatic_matrix	fibroblast	13	7	-0.02496750851586868	0.08111455108359134	0.24958323410335795
F2	EXTENDED	fibroblast_inflammatory	fibroblast	11	6	-0.032759587278902935	0.003070458952811894	0.0491273432449903
F2	EXTENDED	keratinocyte_IFN_response	keratinocyte	12	3	-0.07508075969385208	0.04835164835164835	0.22857142857142856
F2	EXTENDED	keratinocyte_basal	keratinocyte	14	8	0.010193962164539633	0.5698908590549457	0.7353430439418654
F2	EXTENDED	keratinocyte_inflammatory_T17	keratinocyte	14	6	0.05200365585470618	0.02002063983488132	0.16016511867905056
F2	EXTENDED	keratinocyte_proliferative	keratinocyte	11	5	-0.018883998546536385	0.440934065934066	0.6191379878849326
F2	EXTENDED	keratinocyte_spinous_suprabasal	keratinocyte	14	8	-0.012567626950561711	0.26669168464834103	0.45394329301845276
F2	EXTENDED	keratinocyte_stress_hypoxia	keratinocyte	12	6	-0.03759650059898342	0.06679594914889034	0.2344322344322344
F2	EXTENDED	mast_cell	mast_cell	11	7	-0.024819328373967817	0.17911010558069382	0.34116210586798823
F2	EXTENDED	melanocyte_unresolved	melanocyte	14	8	0.0012369860850011682	0.7135441098289396	0.8122986283715363
F2	EXTENDED	myeloid_monocyte_macrophage	myeloid_monocyte	14	8	-0.012802901357776869	0.26669168464834103	0.45394329301845276
F2	EXTENDED	unassigned_unresolved	unassigned	5	7	0.021532995405772276	0.5303030303030304	0.6954793840039742
F6	CORE	B_cell_plasma	B_cell	14	6	0.04060691761405272	0.49396284829721365	0.7789848953935642
F6	CORE	B_cell_unresolved	B_cell	13	7	0.09514310156927253	0.0369453044375645	0.21111602535751142
F6	CORE	T_cell_TRM_T17_like	T_cell	14	8	-0.033659514455538	0.09501829439909935	0.2923639827664596
F6	CORE	T_cell_unresolved	T_cell	3	4	-0.12242381497301547	0.22857142857142856	0.5079365079365079
F6	CORE	cytotoxic_NK_T	NK_cell	14	7	-0.007300374978588042	0.48796009631922954	0.7789848953935642
F6	CORE	dendritic_LAMP3_CCR7	myeloid_monocyte	14	4	0.0617366314715021	0.15751633986928104	0.4200435729847494
F6	CORE	endothelial_activated	endothelial	13	7	0.00022450469070750545	0.5355521155830754	0.7789848953935642
F6	CORE	endothelial_vascular	endothelial	13	7	-0.003984409281584722	0.877296181630547	0.9614204730197775
F6	CORE	fibroblast_homeostatic_matrix	fibroblast	13	7	0.004850294789050913	0.816795665634675	0.9450549450549451
F6	CORE	fibroblast_inflammatory	fibroblast	11	6	-0.02311278389001381	0.732546864899806	0.9140602986756834
F6	CORE	keratinocyte_IFN_response	keratinocyte	12	3	-0.11599197173786024	0.07032967032967033	0.2768799827623358
F6	CORE	keratinocyte_basal	keratinocyte	14	8	0.05469412500464177	0.09501829439909935	0.2923639827664596
F6	CORE	keratinocyte_inflammatory_T17	keratinocyte	14	6	0.1114866743196894	0.02002063983488132	0.17786135433194258
F6	CORE	keratinocyte_proliferative	keratinocyte	11	5	-0.0006598436457345702	0.8269230769230771	0.9450549450549451
F6	CORE	keratinocyte_spinous_suprabasal	keratinocyte	14	8	-0.00938586209922776	0.4411358163680145	0.7352263606133574
F6	CORE	keratinocyte_stress_hypoxia	keratinocyte	12	6	-0.05217301197387575	0.08306399482870072	0.2768799827623358
F6	CORE	mast_cell	mast_cell	11	7	-0.0357808466726407	0.3283056812468577	0.6405964512133809
F6	CORE	melanocyte_unresolved	melanocyte	14	8	0.04377983882497305	0.21185226881821312	0.4984759266310897
F6	CORE	myeloid_monocyte_macrophage	myeloid_monocyte	14	8	-0.001438729979763964	0.7135441098289396	0.9140602986756834
F6	CORE	unassigned_unresolved	unassigned	5	7	0.04933989029864172	0.4318181818181819	0.7352263606133574
F6	EXTENDED	B_cell_plasma	B_cell	14	6	0.009842057608066335	0.3970072239422085	0.5955854844743734
F6	EXTENDED	B_cell_unresolved	B_cell	13	7	0.07056280347810145	0.09680082559339526	0.27657378740970073
F6	EXTENDED	T_cell_TRM_T17_like	T_cell	14	8	-0.047276300865467025	0.0028958313788035152	0.0491273432449903
F6	EXTENDED	T_cell_unresolved	T_cell	3	4	-0.10455777960473034	0.11428571428571428	0.27788723144760297
F6	EXTENDED	cytotoxic_NK_T	NK_cell	14	7	-0.02430263476299316	0.14895080839353286	0.3135806492495429
