axis	program_type	refined_state	parent_cell_type	n_paired_donors	mean_LS_minus_NL	bootstrap_ci_low	bootstrap_ci_high	signflip_p	fdr_by_program_type
F1	CORE	B_cell_plasma	B_cell	7	-0.011010072200950858	-0.06219198157357908	0.03986528552497432	0.7364341085271318	0.9619812382739212
F1	CORE	B_cell_unresolved	B_cell	9	-0.0033033402308380467	-0.043224040005200276	0.04039494187649576	0.8869395711500975	1.0
F1	CORE	T_cell_TRM_T17_like	T_cell	9	0.009379225215543047	-0.017846763740018565	0.03660728730363293	0.5282651072124757	0.9150326797385622
F1	CORE	T_cell_unresolved	T_cell	1	-0.018416862332697792	-0.018416862332697792	-0.018416862332697792	1.0	1.0
F1	CORE	cytotoxic_NK_T	NK_cell	8	-0.01289501889583108	-0.021988382035022618	-0.0033621980580135144	0.05058365758754864	0.3124390243902439
F1	CORE	dendritic_LAMP3_CCR7	myeloid_monocyte	9	-0.024818814648138718	-0.04310694394297397	-0.0029402254413737356	0.056530214424951264	0.3124390243902439
F1	CORE	dendritic_unresolved	dendritic	1	0.005579624871667299	0.005579624871667299	0.005579624871667299	1.0	1.0
F1	CORE	endothelial_activated	endothelial	9	0.03422378256533601	-0.0125033190529718	0.07823505314397741	0.1968810916179337	0.5702762653760838
F1	CORE	endothelial_vascular	endothelial	9	0.026103909718525276	0.009733680321378268	0.04385575024081464	0.029239766081871343	0.2783625730994152
F1	CORE	fibroblast_homeostatic_matrix	fibroblast	9	0.010455767030756735	-0.0002299128157392235	0.019230699356627322	0.09551656920077972	0.35274655355249207
F1	CORE	fibroblast_inflammatory	fibroblast	7	0.009497315888633959	-0.03449789612933639	0.055682436486739616	0.7209302325581395	0.9619812382739212
F1	CORE	keratinocyte_IFN_response	keratinocyte	4	-0.02043301909493149	-0.056271385393668466	0.035066868401217255	0.6470588235294118	0.9523681738897088
F1	CORE	keratinocyte_basal	keratinocyte	10	0.04108372940884488	0.01930606230652886	0.061172195577222845	0.00878048780487805	0.22923976608187133
F1	CORE	keratinocyte_inflammatory_T17	keratinocyte	10	0.06471947461316466	0.02131192396380761	0.10988992522769962	0.024390243902439025	0.2783625730994152
F1	CORE	keratinocyte_proliferative	keratinocyte	4	0.06019281362138895	-0.02491212488273309	0.1591798351493808	0.4117647058823529	0.7860962566844919
F1	CORE	keratinocyte_spinous_suprabasal	keratinocyte	10	-0.004589575141941127	-0.03931273603306366	0.02498031575636893	0.8458536585365853	1.0
F1	CORE	keratinocyte_stress_hypoxia	keratinocyte	8	0.05546324614401951	0.006277662868356258	0.10321770092144779	0.07392996108949416	0.3192982456140351
F1	CORE	mast_cell	mast_cell	8	0.00011898817596990227	-0.026797256811430956	0.03544024334903737	1.0	1.0
F1	CORE	melanocyte_unresolved	melanocyte	10	0.031595780749144424	0.0051883696899430705	0.05603127043884474	0.0575609756097561	0.3124390243902439
F1	CORE	myeloid_monocyte_macrophage	myeloid_monocyte	10	-0.013455985987040047	-0.02972867349457169	0.0012022986999994526	0.14341463414634145	0.490272373540856
F1	CORE	unassigned_unresolved	unassigned	3	0.018112620090760572	-0.006204241761802842	0.038659535624392394	0.5555555555555556	0.9150326797385622
F1	EXTENDED	B_cell_plasma	B_cell	7	-0.014833932364234914	-0.050170689189626506	0.024817747678492878	0.4728682170542636	0.9186046511627907
F1	EXTENDED	B_cell_unresolved	B_cell	9	0.010732516949826684	-0.01812952616963757	0.04327365589436361	0.5633528265107213	0.9186046511627907
F1	EXTENDED	T_cell_TRM_T17_like	T_cell	9	0.0073516554771373855	-0.017895318934344807	0.03373840465972867	0.6101364522417154	0.9186046511627907
F1	EXTENDED	T_cell_unresolved	T_cell	1	-0.0021009334048646133	-0.0021009334048646133	-0.0021009334048646133	1.0	1.0
F1	EXTENDED	cytotoxic_NK_T	NK_cell	8	-0.002590472979387217	-0.011798963743305454	0.008633008351656188	0.6731517509727627	0.9709136006614304
F1	EXTENDED	dendritic_LAMP3_CCR7	myeloid_monocyte	9	-0.015904748830372042	-0.03541490230739468	0.00488159009115628	0.18908382066276802	0.661793372319688
F1	EXTENDED	dendritic_unresolved	dendritic	1	0.014262684614863186	0.014262684614863186	0.014262684614863186	1.0	1.0
F1	EXTENDED	endothelial_activated	endothelial	9	0.02046636307612247	-0.017217860557297026	0.049510929110214916	0.2826510721247563	0.847953216374269
F1	EXTENDED	endothelial_vascular	endothelial	9	0.017465244354637803	0.005145568057616485	0.03169754649402889	0.04873294346978557	0.4046341463414634
F1	EXTENDED	fibroblast_homeostatic_matrix	fibroblast	9	0.007618861020544416	-0.0002636275865091008	0.01577627437395665	0.13450292397660818	0.5135566188197767
F1	EXTENDED	fibroblast_inflammatory	fibroblast	7	0.0035736765666811087	-0.02609486642262853	0.034992429533559674	0.875968992248062	1.0
F1	EXTENDED	keratinocyte_IFN_response	keratinocyte	4	0.00558657677942102	-0.03392734226223448	0.06799829433782688	1.0	1.0
F1	EXTENDED	keratinocyte_basal	keratinocyte	10	0.03204890208112294	0.016957746951756527	0.045121935311812904	0.00878048780487805	0.3687804878048781
F1	EXTENDED	keratinocyte_inflammatory_T17	keratinocyte	10	0.04794767640510706	0.01516403669450816	0.08244700363388412	0.04390243902439024	0.4046341463414634
F1	EXTENDED	keratinocyte_proliferative	keratinocyte	4	0.04540901443318188	-0.018901561529135705	0.10673764105640358	0.4117647058823529	0.9186046511627907
