sample_accession	file	bytes
GSM6086615	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086615_ST_13_L_filtered_feature_bc_matrix.h5	1624787
GSM6086616	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086616_ST_13_NL_filtered_feature_bc_matrix.h5	769110
GSM6086617	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086617_ST_14_L_filtered_feature_bc_matrix.h5	858726
GSM6086618	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086618_ST_14_L_R2_filtered_feature_bc_matrix.h5	2358763
GSM6086619	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086619_ST_14_NL_filtered_feature_bc_matrix.h5	560190
GSM6086620	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086620_ST_15_L_filtered_feature_bc_matrix.h5	1108886
GSM6086621	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086621_ST_15_L_R2_filtered_feature_bc_matrix.h5	2541349
GSM6086622	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086622_ST_15_NL_filtered_feature_bc_matrix.h5	845864
GSM6086623	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086623_ST_16_L_filtered_feature_bc_matrix.h5	2152281
GSM6086624	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086624_ST_16_NL_filtered_feature_bc_matrix.h5	908768
GSM6086625	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086625_ST_17_L_filtered_feature_bc_matrix.h5	1270819
GSM6086626	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086626_ST_17_NL_filtered_feature_bc_matrix.h5	660575
GSM6086627	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086627_ST_18_L_filtered_feature_bc_matrix.h5	903838
GSM6086628	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086628_ST_18_L_R2_filtered_feature_bc_matrix.h5	2673923
GSM6086629	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086629_ST_18_NL_filtered_feature_bc_matrix.h5	1825736
GSM6086630	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086630_ST_20_L_filtered_feature_bc_matrix.h5	2027355
GSM6086631	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086631_ST_20_NL_filtered_feature_bc_matrix.h5	1350031
GSM6086632	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086632_ST_21_L_filtered_feature_bc_matrix.h5	2121614
GSM6086633	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086633_ST_21_NL_filtered_feature_bc_matrix.h5	1534327
GSM6086634	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086634_ST_22_L_filtered_feature_bc_matrix.h5	1831639
GSM6086635	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086635_ST_22_NL_filtered_feature_bc_matrix.h5	1525739
GSM6086636	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086636_ST_L_RP1_filtered_feature_bc_matrix.h5	2403595
GSM6086637	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086637_ST_L_RP2_filtered_feature_bc_matrix.h5	1929696
GSM6086638	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086638_ST_HM_1_filtered_feature_bc_matrix.h5	934546
GSM6086639	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086639_ST_HM_1_R2_filtered_feature_bc_matrix.h5	1018988
GSM6086640	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086640_ST_HF_1_filtered_feature_bc_matrix.h5	1028271
GSM6086641	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086641_ST_HF_1_R2_filtered_feature_bc_matrix.h5	1736687
GSM6086642	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086642_ST_HF_2E_filtered_feature_bc_matrix.h5	1566515
GSM6086643	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086643_ST_HF_2T_filtered_feature_bc_matrix.h5	1272426
GSM6086644	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE202011_h5/GSM6086644_ST_HF_1T_filtered_feature_bc_matrix.h5	893851
