sample_name	axis	program_type	spatial_program	spot_spearman	n_spots
NS1	F1	CORE	keratinocyte_basal	0.3754525835585267	1340
NS1	F1	CORE	keratinocyte_spinous_suprabasal	0.11661450422017658	1340
NS1	F1	CORE	keratinocyte_inflammatory_T17	0.4390411591113689	1340
NS1	F1	CORE	keratinocyte_stress_hypoxia	0.5151024035454017	1340
NS1	F1	CORE	fibroblast_matrix	-0.2718198283360029	1340
NS1	F1	CORE	fibroblast_inflammatory	0.15998053066372808	1340
NS1	F1	CORE	endothelial_vascular	0.41464577380374756	1340
NS1	F1	CORE	myeloid_dendritic	0.4591422203721385	1340
NS1	F1	CORE	T_NK_cytotoxic	0.17089515489043136	1340
NS1	F1	CORE	B_plasma	0.1832513233048518	1340
NS1	F1	EXTENDED	keratinocyte_basal	0.3997576856188494	1340
NS1	F1	EXTENDED	keratinocyte_spinous_suprabasal	0.10290015658334534	1340
NS1	F1	EXTENDED	keratinocyte_inflammatory_T17	0.4542378837272349	1340
NS1	F1	EXTENDED	keratinocyte_stress_hypoxia	0.5546730081300406	1340
NS1	F1	EXTENDED	fibroblast_matrix	-0.16538477871929208	1340
NS1	F1	EXTENDED	fibroblast_inflammatory	0.21802183275526726	1340
NS1	F1	EXTENDED	endothelial_vascular	0.40786643605824396	1340
NS1	F1	EXTENDED	myeloid_dendritic	0.4841475197423498	1340
NS1	F1	EXTENDED	T_NK_cytotoxic	0.19043572572551404	1340
NS1	F1	EXTENDED	B_plasma	0.1863365770954636	1340
NS1	F2	CORE	keratinocyte_basal	0.3757922029193966	1340
NS1	F2	CORE	keratinocyte_spinous_suprabasal	0.09205434493360491	1340
NS1	F2	CORE	keratinocyte_inflammatory_T17	0.42042103652003426	1340
NS1	F2	CORE	keratinocyte_stress_hypoxia	0.5383718080087196	1340
NS1	F2	CORE	fibroblast_matrix	-0.11221044907535242	1340
NS1	F2	CORE	fibroblast_inflammatory	0.242389279489241	1340
NS1	F2	CORE	endothelial_vascular	0.41330669906986467	1340
NS1	F2	CORE	myeloid_dendritic	0.48934736167432363	1340
NS1	F2	CORE	T_NK_cytotoxic	0.19666188821333966	1340
NS1	F2	CORE	B_plasma	0.18475479751208115	1340
NS1	F2	EXTENDED	keratinocyte_basal	0.3848500273194687	1340
NS1	F2	EXTENDED	keratinocyte_spinous_suprabasal	0.08813765665148458	1340
NS1	F2	EXTENDED	keratinocyte_inflammatory_T17	0.4300510710346698	1340
NS1	F2	EXTENDED	keratinocyte_stress_hypoxia	0.5436877336847222	1340
NS1	F2	EXTENDED	fibroblast_matrix	-0.10924968263822957	1340
NS1	F2	EXTENDED	fibroblast_inflammatory	0.24655357760246485	1340
NS1	F2	EXTENDED	endothelial_vascular	0.41009004331341353	1340
NS1	F2	EXTENDED	myeloid_dendritic	0.49203876308797045	1340
NS1	F2	EXTENDED	T_NK_cytotoxic	0.19656343110647262	1340
NS1	F2	EXTENDED	B_plasma	0.19084990161149826	1340
NS1	F6	CORE	keratinocyte_basal	0.4169443427560533	1340
NS1	F6	CORE	keratinocyte_spinous_suprabasal	0.14240614302981094	1340
NS1	F6	CORE	keratinocyte_inflammatory_T17	0.44508455453855694	1340
NS1	F6	CORE	keratinocyte_stress_hypoxia	0.5513488977917765	1340
NS1	F6	CORE	fibroblast_matrix	-0.1942699456529914	1340
NS1	F6	CORE	fibroblast_inflammatory	0.18564883517893516	1340
NS1	F6	CORE	endothelial_vascular	0.3929350530148118	1340
NS1	F6	CORE	myeloid_dendritic	0.4599205013047757	1340
NS1	F6	CORE	T_NK_cytotoxic	0.17709965877272674	1340
NS1	F6	CORE	B_plasma	0.17600113972944986	1340
NS1	F6	EXTENDED	keratinocyte_basal	0.42964927203262115	1340
NS1	F6	EXTENDED	keratinocyte_spinous_suprabasal	0.16482030569538844	1340
NS1	F6	EXTENDED	keratinocyte_inflammatory_T17	0.4676546595609282	1340
NS1	F6	EXTENDED	keratinocyte_stress_hypoxia	0.5734072115226039	1340
NS1	F6	EXTENDED	fibroblast_matrix	-0.20758178622353546	1340
NS1	F6	EXTENDED	fibroblast_inflammatory	0.19781232500354687	1340
NS1	F6	EXTENDED	endothelial_vascular	0.40819906731351363	1340
NS1	F6	EXTENDED	myeloid_dendritic	0.472071121303901	1340
NS1	F6	EXTENDED	T_NK_cytotoxic	0.18485987216912886	1340
NS1	F6	EXTENDED	B_plasma	0.18499646031604033	1340
NS1	F7	CORE	keratinocyte_basal	0.4382873278612732	1340
NS1	F7	CORE	keratinocyte_spinous_suprabasal	0.17325324022462027	1340
NS1	F7	CORE	keratinocyte_inflammatory_T17	0.4532780006752079	1340
NS1	F7	CORE	keratinocyte_stress_hypoxia	0.5272944041267057	1340
NS1	F7	CORE	fibroblast_matrix	-0.3105825684096123	1340
NS1	F7	CORE	fibroblast_inflammatory	0.18793018310586534	1340
NS1	F7	CORE	endothelial_vascular	0.48558945509115886	1340
NS1	F7	CORE	myeloid_dendritic	0.453574475822703	1340
NS1	F7	CORE	T_NK_cytotoxic	0.1748710069589623	1340
NS1	F7	CORE	B_plasma	0.1916457530017253	1340
NS1	F7	EXTENDED	keratinocyte_basal	0.44617992563351105	1340
NS1	F7	EXTENDED	keratinocyte_spinous_suprabasal	0.1709005899613669	1340
NS1	F7	EXTENDED	keratinocyte_inflammatory_T17	0.4666460354504094	1340
NS1	F7	EXTENDED	keratinocyte_stress_hypoxia	0.5498474471564084	1340
NS1	F7	EXTENDED	fibroblast_matrix	-0.2818940069664359	1340
NS1	F7	EXTENDED	fibroblast_inflammatory	0.19269602258981236	1340
NS1	F7	EXTENDED	endothelial_vascular	0.4701009286842215	1340
NS1	F7	EXTENDED	myeloid_dendritic	0.4690710013903958	1340
NS1	F7	EXTENDED	T_NK_cytotoxic	0.18029032011436266	1340
NS1	F7	EXTENDED	B_plasma	0.18736771078378373	1340
NS2	F1	CORE	keratinocyte_basal	0.6313745280743314	904
NS2	F1	CORE	keratinocyte_spinous_suprabasal	0.2621845874292254	904
NS2	F1	CORE	keratinocyte_inflammatory_T17	0.42294837191210954	904
NS2	F1	CORE	keratinocyte_stress_hypoxia	0.5541407986394165	904
NS2	F1	CORE	fibroblast_matrix	-0.26644876964708675	904
NS2	F1	CORE	fibroblast_inflammatory	0.11174685472591628	904
NS2	F1	CORE	endothelial_vascular	0.2518693536934397	904
NS2	F1	CORE	myeloid_dendritic	0.48537166657308783	904
NS2	F1	CORE	T_NK_cytotoxic	0.2914623801251253	904
NS2	F1	CORE	B_plasma	0.16903628778159593	904
NS2	F1	EXTENDED	keratinocyte_basal	0.6439402222760356	904
NS2	F1	EXTENDED	keratinocyte_spinous_suprabasal	0.27795974672182167	904
