phen	h2.obs	h2.latent	ascertained	p	locus	chr	start	stop	outcome
psoriasis	0.0264938	0.0926779	FALSE	0	908	5	158484776	159663733	psa
psa	0.020689	0.0430075	FALSE	1.55217e-73	908	5	158484776	159663733	psa
psoriasis	0.0053474	0.0187057	FALSE	1.32032e-83	57	1	66778016	67761890	psa
psa	0.00999499	0.0207771	FALSE	1.21481e-32	57	1	66778016	67761890	psa
psoriasis	0.00523373	0.0183081	FALSE	3.80085e-82	1041	6	111363444	112342873	psa
psa	0.00750383	0.0155986	FALSE	1.20816e-22	1041	6	111363444	112342873	psa
psoriasis	0.00710561	0.0248561	FALSE	7.16171e-95	26	1	23907046	25885138	psa
psa	0.0100053	0.0207987	FALSE	2.93712e-23	26	1	23907046	25885138	psa
psoriasis	0.00262663	0.00918819	FALSE	3.33001e-25	1733	11	128262551	129451784	psa
psa	0.00843493	0.0175342	FALSE	3.29722e-19	1733	11	128262551	129451784	psa
psoriasis	0.00357728	0.0125137	FALSE	5.78974e-49	887	5	130573818	132554690	psa
psa	0.00606813	0.0126142	FALSE	1.2929e-16	887	5	130573818	132554690	psa
psoriasis	0.0049298	0.0172449	FALSE	2.35407e-68	2195	17	25872111	27344401	psa
psa	0.00661275	0.0137463	FALSE	3.27055e-16	2195	17	25872111	27344401	psa
psoriasis	0.00513482	0.0179621	FALSE	1.5363e-71	347	2	161432090	163607635	psa
psa	0.00536171	0.0111457	FALSE	2.48993e-12	347	2	161432090	163607635	psa
psoriasis	0.00140672	0.00492084	FALSE	2.07455e-09	53	1	61377616	62778733	psa
psa	0.00679789	0.0141312	FALSE	7.21325e-13	53	1	61377616	62778733	psa
psoriasis	0.00477569	0.0167058	FALSE	1.35426e-57	1063	6	137553213	138825721	psa
psa	0.00493929	0.0102676	FALSE	5.62192e-09	1063	6	137553213	138825721	psa
psoriasis	0.00635625	0.0222348	FALSE	1.34618e-87	899	5	149850204	150981934	psa
psa	0.00471979	0.00981129	FALSE	6.98253e-09	899	5	149850204	150981934	psa
psoriasis	0.00284677	0.00995826	FALSE	3.80354e-31	854	5	95117260	96467377	psa
psa	0.00433495	0.00901131	FALSE	1.82236e-08	854	5	95117260	96467377	psa
psoriasis	0.00314683	0.0110079	FALSE	1.62116e-39	1793	12	55416803	56987105	psa
psa	0.00394113	0.00819265	FALSE	1.15773e-08	1793	12	55416803	56987105	psa
psoriasis	0.00725078	0.0253639	FALSE	3.77904e-98	2318	19	10028841	11681978	psa
psa	0.00620076	0.0128899	FALSE	7.23944e-12	2318	19	10028841	11681978	psa
psoriasis	0.00269911	0.00944175	FALSE	1.18177e-23	2450	21	35729262	37303548	psa
psa	0.00502569	0.0104472	FALSE	2.60767e-08	2450	21	35729262	37303548	psa
psoriasis	0.00130767	0.00457436	FALSE	1.75946e-08	2198	17	31318754	32356061	psa
psa	0.00427749	0.00889187	FALSE	1.06682e-06	2198	17	31318754	32356061	psa
psoriasis	0.00512458	0.0179263	FALSE	2.62564e-56	926	6	63979	1380679	psa
psa	0.00438617	0.00911777	FALSE	1.73989e-06	926	6	63979	1380679	psa
psoriasis	0.00180474	0.00631315	FALSE	1.95074e-19	1649	11	36331190	37119024	psa
psa	0.00312464	0.00649537	FALSE	1.3164e-06	1649	11	36331190	37119024	psa
psoriasis	0.00224731	0.0078613	FALSE	1.39346e-22	2251	18	12735559	13641479	psa
psa	0.00376782	0.00783237	FALSE	4.41082e-07	2251	18	12735559	13641479	psa
psoriasis	0.00118789	0.00415534	FALSE	1.0158e-09	1097	7	2473750	3100211	psa
psa	0.0033185	0.00689834	FALSE	3.00028e-06	1097	7	2473750	3100211	psa
