phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p	locus	chr	start	stop	outcome	univ_p_psoriasis	univ_p_outcome	h2_psoriasis	h2_outcome
psa	psoriasis	0.944787	NA	NA	0.892623	NA	NA	9.90536e-87	908	5	158484776	159663733	psa	0	1.55217e-73	0.0264938	0.020689
psa	psoriasis	0.740363	NA	NA	0.548138	NA	NA	1.63648e-18	57	1	66778016	67761890	psa	1.32032e-83	1.21481e-32	0.0053474	0.00999499
psa	psoriasis	1	NA	NA	1	NA	NA	6.3568e-28	1041	6	111363444	112342873	psa	3.80085e-82	1.20816e-22	0.00523373	0.00750383
psa	psoriasis	0.753912	NA	NA	0.568383	NA	NA	3.24703e-20	26	1	23907046	25885138	psa	7.16171e-95	2.93712e-23	0.00710561	0.0100053
psa	psoriasis	0.69274	NA	NA	0.479889	NA	NA	8.5504e-10	1733	11	128262551	129451784	psa	3.33001e-25	3.29722e-19	0.00262663	0.00843493
psa	psoriasis	0.807433	NA	NA	0.651949	NA	NA	2.06446e-13	887	5	130573818	132554690	psa	5.78974e-49	1.2929e-16	0.00357728	0.00606813
psa	psoriasis	0.815946	NA	NA	0.665768	NA	NA	1.04082e-15	2195	17	25872111	27344401	psa	2.35407e-68	3.27055e-16	0.0049298	0.00661275
psa	psoriasis	0.847701	NA	NA	0.718597	NA	NA	3.43009e-14	347	2	161432090	163607635	psa	1.5363e-71	2.48993e-12	0.00513482	0.00536171
psa	psoriasis	0.582144	NA	NA	0.338892	NA	NA	9.73766e-05	53	1	61377616	62778733	psa	2.07455e-09	7.21325e-13	0.00140672	0.00679789
psa	psoriasis	0.723031	NA	NA	0.522774	NA	NA	3.05252e-09	1063	6	137553213	138825721	psa	1.35426e-57	5.62192e-09	0.00477569	0.00493929
psa	psoriasis	0.939633	NA	NA	0.882911	NA	NA	3.44427e-16	899	5	149850204	150981934	psa	1.34618e-87	6.98253e-09	0.00635625	0.00471979
psa	psoriasis	0.902172	NA	NA	0.813914	NA	NA	1.10843e-10	854	5	95117260	96467377	psa	3.80354e-31	1.82236e-08	0.00284677	0.00433495
psa	psoriasis	0.921791	NA	NA	0.849699	NA	NA	2.14477e-11	1793	12	55416803	56987105	psa	1.62116e-39	1.15773e-08	0.00314683	0.00394113
psa	psoriasis	0.930798	NA	NA	0.866385	NA	NA	7.90775e-20	2318	19	10028841	11681978	psa	3.77904e-98	7.23944e-12	0.00725078	0.00620076
psa	psoriasis	0.569345	NA	NA	0.324154	NA	NA	2.55358e-05	2450	21	35729262	37303548	psa	1.18177e-23	2.60767e-08	0.00269911	0.00502569
psa	psoriasis	0.548699	NA	NA	0.30107	NA	NA	0.0020676	2198	17	31318754	32356061	psa	1.75946e-08	1.06682e-06	0.00130767	0.00427749
psa	psoriasis	0.659266	NA	NA	0.434632	NA	NA	1.36204e-07	926	6	63979	1380679	psa	2.62564e-56	1.73989e-06	0.00512458	0.00438617
psa	psoriasis	0.54596	NA	NA	0.298073	NA	NA	0.00066654	1649	11	36331190	37119024	psa	1.95074e-19	1.3164e-06	0.00180474	0.00312464
psa	psoriasis	1	NA	NA	1	NA	NA	6.71271e-11	2251	18	12735559	13641479	psa	1.39346e-22	4.41082e-07	0.00224731	0.00376782
psa	psoriasis	0.844509	NA	NA	0.713195	NA	NA	8.43573e-06	1097	7	2473750	3100211	psa	1.0158e-09	3.00028e-06	0.00118789	0.0033185
