gene_symbol	source_feature	evidence_family	loading_direction	loading_strength	n_source_features	n_evidence_families	leading_edge_status	tissue_support	replication_support	inclusion_reason
ADRM1	Reactome::Autodegradation of Cdh1 by Cdh1:APC/C;Reactome::Autodegradation of the E3 ubiquitin ligase COP1;Reactome::Degradation of DVL;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Negative regulation of NOTCH4 signaling;Reactome::Proteasome assembly;Reactome::Regulation of activated PAK-2p34 by proteasome mediated degradation;Reactome::Vif-mediated degradation of APOBEC3G	Reactome	negative	7.349623203277588	10	1	CORE	LS	strong	supported by multiple loading-ranked source features before downstream analyses
PSMA1	Reactome::Autodegradation of Cdh1 by Cdh1:APC/C;Reactome::Autodegradation of the E3 ubiquitin ligase COP1;Reactome::Degradation of DVL;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Negative regulation of NOTCH4 signaling;Reactome::Proteasome assembly;Reactome::Regulation of activated PAK-2p34 by proteasome mediated degradation;Reactome::Vif-mediated degradation of APOBEC3G	Reactome	negative	7.349623203277588	10	1	CORE	LS	strong	supported by multiple loading-ranked source features before downstream analyses
PSMA2	Reactome::Autodegradation of Cdh1 by Cdh1:APC/C;Reactome::Autodegradation of the E3 ubiquitin ligase COP1;Reactome::Degradation of DVL;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Negative regulation of NOTCH4 signaling;Reactome::Proteasome assembly;Reactome::Regulation of activated PAK-2p34 by proteasome mediated degradation;Reactome::Vif-mediated degradation of APOBEC3G	Reactome	negative	7.349623203277588	10	1	CORE	LS	strong	supported by multiple loading-ranked source features before downstream analyses
PSMA3	Reactome::Autodegradation of Cdh1 by Cdh1:APC/C;Reactome::Autodegradation of the E3 ubiquitin ligase COP1;Reactome::Degradation of DVL;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Negative regulation of NOTCH4 signaling;Reactome::Proteasome assembly;Reactome::Regulation of activated PAK-2p34 by proteasome mediated degradation;Reactome::Vif-mediated degradation of APOBEC3G	Reactome	negative	7.349623203277588	10	1	CORE	LS	strong	supported by multiple loading-ranked source features before downstream analyses
PSMA4	Reactome::Autodegradation of Cdh1 by Cdh1:APC/C;Reactome::Autodegradation of the E3 ubiquitin ligase COP1;Reactome::Degradation of DVL;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Negative regulation of NOTCH4 signaling;Reactome::Proteasome assembly;Reactome::Regulation of activated PAK-2p34 by proteasome mediated degradation;Reactome::Vif-mediated degradation of APOBEC3G	Reactome	negative	7.349623203277588	10	1	CORE	LS	strong	supported by multiple loading-ranked source features before downstream analyses
PSMA5	Reactome::Autodegradation of Cdh1 by Cdh1:APC/C;Reactome::Autodegradation of the E3 ubiquitin ligase COP1;Reactome::Degradation of DVL;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Negative regulation of NOTCH4 signaling;Reactome::Proteasome assembly;Reactome::Regulation of activated PAK-2p34 by proteasome mediated degradation;Reactome::Vif-mediated degradation of APOBEC3G	Reactome	negative	7.349623203277588	10	1	CORE	LS	strong	supported by multiple loading-ranked source features before downstream analyses
PSMA6	Reactome::Autodegradation of Cdh1 by Cdh1:APC/C;Reactome::Autodegradation of the E3 ubiquitin ligase COP1;Reactome::Degradation of DVL;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Negative regulation of NOTCH4 signaling;Reactome::Proteasome assembly;Reactome::Regulation of activated PAK-2p34 by proteasome mediated degradation;Reactome::Vif-mediated degradation of APOBEC3G	Reactome	negative	7.349623203277588	10	1	CORE	LS	strong	supported by multiple loading-ranked source features before downstream analyses
PSMA7	Reactome::Autodegradation of Cdh1 by Cdh1:APC/C;Reactome::Autodegradation of the E3 ubiquitin ligase COP1;Reactome::Degradation of DVL;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Negative regulation of NOTCH4 signaling;Reactome::Proteasome assembly;Reactome::Regulation of activated PAK-2p34 by proteasome mediated degradation;Reactome::Vif-mediated degradation of APOBEC3G	Reactome	negative	7.349623203277588	10	1	CORE	LS	strong	supported by multiple loading-ranked source features before downstream analyses
PSMB1	Reactome::Autodegradation of Cdh1 by Cdh1:APC/C;Reactome::Autodegradation of the E3 ubiquitin ligase COP1;Reactome::Degradation of DVL;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Negative regulation of NOTCH4 signaling;Reactome::Proteasome assembly;Reactome::Regulation of activated PAK-2p34 by proteasome mediated degradation;Reactome::Vif-mediated degradation of APOBEC3G	Reactome	negative	7.349623203277588	10	1	CORE	LS	strong	supported by multiple loading-ranked source features before downstream analyses
PSMB2	Reactome::Autodegradation of Cdh1 by Cdh1:APC/C;Reactome::Autodegradation of the E3 ubiquitin ligase COP1;Reactome::Degradation of DVL;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Negative regulation of NOTCH4 signaling;Reactome::Proteasome assembly;Reactome::Regulation of activated PAK-2p34 by proteasome mediated degradation;Reactome::Vif-mediated degradation of APOBEC3G	Reactome	negative	7.349623203277588	10	1	CORE	LS	strong	supported by multiple loading-ranked source features before downstream analyses
