gene_symbol	source_feature	evidence_family	loading_direction	loading_strength	n_source_features	n_evidence_families	leading_edge_status	tissue_support	replication_support	inclusion_reason
PIK3R1	Reactome::Constitutive Signaling by Aberrant PI3K in Cancer;Reactome::IRS-related events triggered by IGF1R;Reactome::MAPK1/MAPK3 signaling;Reactome::Negative regulation of the PI3K/AKT network;Reactome::PI-3K cascade:FGFR1;Reactome::PI3K/AKT Signaling in Cancer;Reactome::PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;Reactome::RAC1 GTPase cycle;Reactome::RAC2 GTPase cycle;Reactome::RAC3 GTPase cycle;Reactome::RAF/MAP kinase cascade;Reactome::RHOA GTPase cycle	Reactome	positive	13.261660695075989	16	1	CORE	NL	strong	supported by multiple loading-ranked source features before downstream analyses
PIK3R2	Reactome::Constitutive Signaling by Aberrant PI3K in Cancer;Reactome::IRS-related events triggered by IGF1R;Reactome::MAPK1/MAPK3 signaling;Reactome::Negative regulation of the PI3K/AKT network;Reactome::PI3K/AKT Signaling in Cancer;Reactome::PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;Reactome::RAC1 GTPase cycle;Reactome::RAC2 GTPase cycle;Reactome::RAC3 GTPase cycle;Reactome::RAF/MAP kinase cascade;Reactome::RHOA GTPase cycle;Reactome::Signaling by PDGF	Reactome	positive	11.65807819366455	14	1	CORE	NL	strong	supported by multiple loading-ranked source features before downstream analyses
PIK3CA	Reactome::Constitutive Signaling by Aberrant PI3K in Cancer;Reactome::IRS-related events triggered by IGF1R;Reactome::MAPK1/MAPK3 signaling;Reactome::Negative regulation of the PI3K/AKT network;Reactome::PI-3K cascade:FGFR1;Reactome::PI3K/AKT Signaling in Cancer;Reactome::PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;Reactome::RAC1 GTPase cycle;Reactome::RAC2 GTPase cycle;Reactome::RAF/MAP kinase cascade;Reactome::Signaling by PDGF;Reactome::Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	Reactome	positive	10.767308712005615	13	1	CORE	NL	strong	supported by multiple loading-ranked source features before downstream analyses
FGF2	Reactome::Constitutive Signaling by Aberrant PI3K in Cancer;Reactome::IRS-related events triggered by IGF1R;Reactome::MAPK1/MAPK3 signaling;Reactome::Negative regulation of FGFR2 signaling;Reactome::Negative regulation of the PI3K/AKT network;Reactome::Non-integrin membrane-ECM interactions;Reactome::PI-3K cascade:FGFR1;Reactome::PI3K/AKT Signaling in Cancer;Reactome::PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;Reactome::RAF/MAP kinase cascade;Reactome::Signaling by TGFB family members;Reactome::Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	Reactome	positive	9.819592356681824	12	1	CORE	NL	strong	supported by multiple loading-ranked source features before downstream analyses
GRB2	Reactome::Constitutive Signaling by Aberrant PI3K in Cancer;Reactome::IRS-related events triggered by IGF1R;Reactome::MAPK1/MAPK3 signaling;Reactome::Negative regulation of FGFR2 signaling;Reactome::Negative regulation of the PI3K/AKT network;Reactome::PI-3K cascade:FGFR1;Reactome::PI3K/AKT Signaling in Cancer;Reactome::PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;Reactome::RAF/MAP kinase cascade;Reactome::Signaling by PDGF;Reactome::Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	Reactome	positive	9.00539767742157	11	1	CORE	NL	strong	supported by multiple loading-ranked source features before downstream analyses
PTPN11	Reactome::Constitutive Signaling by Aberrant PI3K in Cancer;Reactome::IRS-related events triggered by IGF1R;Reactome::MAPK1/MAPK3 signaling;Reactome::Negative regulation of FGFR2 signaling;Reactome::Negative regulation of the PI3K/AKT network;Reactome::Netrin-1 signaling;Reactome::PI-3K cascade:FGFR1;Reactome::PI3K/AKT Signaling in Cancer;Reactome::PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;Reactome::Signaling by PDGF;Reactome::Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	Reactome	positive	9.005379617214203	11	1	CORE	NL	strong	supported by multiple loading-ranked source features before downstream analyses
PIK3CB	Reactome::Constitutive Signaling by Aberrant PI3K in Cancer;Reactome::IRS-related events triggered by IGF1R;Reactome::MAPK1/MAPK3 signaling;Reactome::Negative regulation of the PI3K/AKT network;Reactome::PI3K/AKT Signaling in Cancer;Reactome::PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;Reactome::RAF/MAP kinase cascade;Reactome::Signaling by PDGF;Reactome::Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R);Reactome::VEGFA-VEGFR2 Pathway	Reactome	positive	8.290785133838654	10	1	CORE	NL	strong	supported by multiple loading-ranked source features before downstream analyses
SRC	Reactome::Constitutive Signaling by Aberrant PI3K in Cancer;Reactome::MAPK1/MAPK3 signaling;Reactome::Negative regulation of FGFR2 signaling;Reactome::Negative regulation of the PI3K/AKT network;Reactome::Netrin-1 signaling;Reactome::PI3K/AKT Signaling in Cancer;Reactome::PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;Reactome::RAF/MAP kinase cascade;Reactome::Signaling by PDGF;Reactome::VEGFA-VEGFR2 Pathway	Reactome	positive	8.28747820854187	10	1	CORE	NL	strong	supported by multiple loading-ranked source features before downstream analyses
FGF1	Reactome::Constitutive Signaling by Aberrant PI3K in Cancer;Reactome::IRS-related events triggered by IGF1R;Reactome::MAPK1/MAPK3 signaling;Reactome::Negative regulation of FGFR2 signaling;Reactome::Negative regulation of the PI3K/AKT network;Reactome::PI-3K cascade:FGFR1;Reactome::PI3K/AKT Signaling in Cancer;Reactome::PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;Reactome::RAF/MAP kinase cascade;Reactome::Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	Reactome	positive	8.20401644706726	10	1	CORE	NL	strong	supported by multiple loading-ranked source features before downstream analyses
FGF10	Reactome::Constitutive Signaling by Aberrant PI3K in Cancer;Reactome::IRS-related events triggered by IGF1R;Reactome::MAPK1/MAPK3 signaling;Reactome::Negative regulation of FGFR2 signaling;Reactome::Negative regulation of the PI3K/AKT network;Reactome::PI-3K cascade:FGFR1;Reactome::PI3K/AKT Signaling in Cancer;Reactome::PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;Reactome::RAF/MAP kinase cascade;Reactome::Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	Reactome	positive	8.20401644706726	10	1	CORE	NL	strong	supported by multiple loading-ranked source features before downstream analyses
FGF17	Reactome::Constitutive Signaling by Aberrant PI3K in Cancer;Reactome::IRS-related events triggered by IGF1R;Reactome::MAPK1/MAPK3 signaling;Reactome::Negative regulation of FGFR2 signaling;Reactome::Negative regulation of the PI3K/AKT network;Reactome::PI-3K cascade:FGFR1;Reactome::PI3K/AKT Signaling in Cancer;Reactome::PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;Reactome::RAF/MAP kinase cascade;Reactome::Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	Reactome	positive	8.20401644706726	10	1	CORE	NL	strong	supported by multiple loading-ranked source features before downstream analyses
FGF20	Reactome::Constitutive Signaling by Aberrant PI3K in Cancer;Reactome::IRS-related events triggered by IGF1R;Reactome::MAPK1/MAPK3 signaling;Reactome::Negative regulation of FGFR2 signaling;Reactome::Negative regulation of the PI3K/AKT network;Reactome::PI-3K cascade:FGFR1;Reactome::PI3K/AKT Signaling in Cancer;Reactome::PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;Reactome::RAF/MAP kinase cascade;Reactome::Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	Reactome	positive	8.20401644706726	10	1	CORE	NL	strong	supported by multiple loading-ranked source features before downstream analyses
FGF22	Reactome::Constitutive Signaling by Aberrant PI3K in Cancer;Reactome::IRS-related events triggered by IGF1R;Reactome::MAPK1/MAPK3 signaling;Reactome::Negative regulation of FGFR2 signaling;Reactome::Negative regulation of the PI3K/AKT network;Reactome::PI-3K cascade:FGFR1;Reactome::PI3K/AKT Signaling in Cancer;Reactome::PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;Reactome::RAF/MAP kinase cascade;Reactome::Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	Reactome	positive	8.20401644706726	10	1	CORE	NL	strong	supported by multiple loading-ranked source features before downstream analyses
FGF23	Reactome::Constitutive Signaling by Aberrant PI3K in Cancer;Reactome::IRS-related events triggered by IGF1R;Reactome::MAPK1/MAPK3 signaling;Reactome::Negative regulation of FGFR2 signaling;Reactome::Negative regulation of the PI3K/AKT network;Reactome::PI-3K cascade:FGFR1;Reactome::PI3K/AKT Signaling in Cancer;Reactome::PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;Reactome::RAF/MAP kinase cascade;Reactome::Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	Reactome	positive	8.20401644706726	10	1	CORE	NL	strong	supported by multiple loading-ranked source features before downstream analyses
FGF3	Reactome::Constitutive Signaling by Aberrant PI3K in Cancer;Reactome::IRS-related events triggered by IGF1R;Reactome::MAPK1/MAPK3 signaling;Reactome::Negative regulation of FGFR2 signaling;Reactome::Negative regulation of the PI3K/AKT network;Reactome::PI-3K cascade:FGFR1;Reactome::PI3K/AKT Signaling in Cancer;Reactome::PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;Reactome::RAF/MAP kinase cascade;Reactome::Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	Reactome	positive	8.20401644706726	10	1	CORE	NL	strong	supported by multiple loading-ranked source features before downstream analyses
FGF4	Reactome::Constitutive Signaling by Aberrant PI3K in Cancer;Reactome::IRS-related events triggered by IGF1R;Reactome::MAPK1/MAPK3 signaling;Reactome::Negative regulation of FGFR2 signaling;Reactome::Negative regulation of the PI3K/AKT network;Reactome::PI-3K cascade:FGFR1;Reactome::PI3K/AKT Signaling in Cancer;Reactome::PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;Reactome::RAF/MAP kinase cascade;Reactome::Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	Reactome	positive	8.20401644706726	10	1	CORE	NL	strong	supported by multiple loading-ranked source features before downstream analyses
FGF5	Reactome::Constitutive Signaling by Aberrant PI3K in Cancer;Reactome::IRS-related events triggered by IGF1R;Reactome::MAPK1/MAPK3 signaling;Reactome::Negative regulation of FGFR2 signaling;Reactome::Negative regulation of the PI3K/AKT network;Reactome::PI-3K cascade:FGFR1;Reactome::PI3K/AKT Signaling in Cancer;Reactome::PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;Reactome::RAF/MAP kinase cascade;Reactome::Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	Reactome	positive	8.20401644706726	10	1	CORE	NL	strong	supported by multiple loading-ranked source features before downstream analyses
