gene_symbol	source_feature	evidence_family	loading_direction	loading_strength	n_source_features	n_evidence_families	leading_edge_status	tissue_support	replication_support	inclusion_reason
RPS27A	Reactome::Cellular response to starvation;Reactome::Eukaryotic Translation Elongation;Reactome::Eukaryotic Translation Termination;Reactome::Inactivation of CSF3 (G-CSF) signaling;Reactome::Influenza Infection;Reactome::Influenza Viral RNA Transcription and Replication;Reactome::MAP3K8 (TPL2)-dependent MAPK1/3 activation;Reactome::Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC);Reactome::Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC);Reactome::Nonsense-Mediated Decay (NMD);Reactome::PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA;Reactome::Peptide chain elongation	Reactome	negative	12.470762968063354	20	1	CORE	BLD	weak	supported by multiple loading-ranked source features before downstream analyses
UBA52	Reactome::Cellular response to starvation;Reactome::Eukaryotic Translation Elongation;Reactome::Eukaryotic Translation Termination;Reactome::Inactivation of CSF3 (G-CSF) signaling;Reactome::Influenza Infection;Reactome::Influenza Viral RNA Transcription and Replication;Reactome::MAP3K8 (TPL2)-dependent MAPK1/3 activation;Reactome::Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC);Reactome::Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC);Reactome::Nonsense-Mediated Decay (NMD);Reactome::PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA;Reactome::Peptide chain elongation	Reactome	negative	11.860609650611877	19	1	CORE	BLD	weak	supported by multiple loading-ranked source features before downstream analyses
RPS2	Reactome::Cellular response to starvation;Reactome::Eukaryotic Translation Elongation;Reactome::Eukaryotic Translation Termination;Reactome::Influenza Infection;Reactome::Influenza Viral RNA Transcription and Replication;Reactome::M-decay: degradation of maternal mRNAs by maternally stored factors;Reactome::Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC);Reactome::Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC);Reactome::Nonsense-Mediated Decay (NMD);Reactome::PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA;Reactome::Peptide chain elongation;Reactome::Response of EIF2AK4 (GCN2) to amino acid deficiency	Reactome	negative	11.175957679748535	18	1	CORE	BLD	weak	supported by multiple loading-ranked source features before downstream analyses
18S rRNA	Reactome::Cellular response to starvation;Reactome::Eukaryotic Translation Elongation;Reactome::Eukaryotic Translation Termination;Reactome::Influenza Infection;Reactome::Influenza Viral RNA Transcription and Replication;Reactome::Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC);Reactome::Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC);Reactome::Nonsense-Mediated Decay (NMD);Reactome::PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA;Reactome::Peptide chain elongation;Reactome::Response of EIF2AK4 (GCN2) to amino acid deficiency;Reactome::SARS-CoV-1 modulates host translation machinery	Reactome	negative	10.561671912670135	17	1	CORE	BLD	weak	supported by multiple loading-ranked source features before downstream analyses
FAU	Reactome::Cellular response to starvation;Reactome::Eukaryotic Translation Elongation;Reactome::Eukaryotic Translation Termination;Reactome::Influenza Infection;Reactome::Influenza Viral RNA Transcription and Replication;Reactome::Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC);Reactome::Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC);Reactome::Nonsense-Mediated Decay (NMD);Reactome::PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA;Reactome::Peptide chain elongation;Reactome::Response of EIF2AK4 (GCN2) to amino acid deficiency;Reactome::SARS-CoV-1 modulates host translation machinery	Reactome	negative	10.561671912670135	17	1	CORE	BLD	weak	supported by multiple loading-ranked source features before downstream analyses
RPS10	Reactome::Cellular response to starvation;Reactome::Eukaryotic Translation Elongation;Reactome::Eukaryotic Translation Termination;Reactome::Influenza Infection;Reactome::Influenza Viral RNA Transcription and Replication;Reactome::Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC);Reactome::Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC);Reactome::Nonsense-Mediated Decay (NMD);Reactome::PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA;Reactome::Peptide chain elongation;Reactome::Response of EIF2AK4 (GCN2) to amino acid deficiency;Reactome::SARS-CoV-1 modulates host translation machinery	Reactome	negative	10.561671912670135	17	1	CORE	BLD	weak	supported by multiple loading-ranked source features before downstream analyses
RPS11	Reactome::Cellular response to starvation;Reactome::Eukaryotic Translation Elongation;Reactome::Eukaryotic Translation Termination;Reactome::Influenza Infection;Reactome::Influenza Viral RNA Transcription and Replication;Reactome::Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC);Reactome::Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC);Reactome::Nonsense-Mediated Decay (NMD);Reactome::PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA;Reactome::Peptide chain elongation;Reactome::Response of EIF2AK4 (GCN2) to amino acid deficiency;Reactome::SARS-CoV-1 modulates host translation machinery	Reactome	negative	10.561671912670135	17	1	CORE	BLD	weak	supported by multiple loading-ranked source features before downstream analyses
RPS12	Reactome::Cellular response to starvation;Reactome::Eukaryotic Translation Elongation;Reactome::Eukaryotic Translation Termination;Reactome::Influenza Infection;Reactome::Influenza Viral RNA Transcription and Replication;Reactome::Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC);Reactome::Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC);Reactome::Nonsense-Mediated Decay (NMD);Reactome::PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA;Reactome::Peptide chain elongation;Reactome::Response of EIF2AK4 (GCN2) to amino acid deficiency;Reactome::SARS-CoV-1 modulates host translation machinery	Reactome	negative	10.561671912670135	17	1	CORE	BLD	weak	supported by multiple loading-ranked source features before downstream analyses
RPS13	Reactome::Cellular response to starvation;Reactome::Eukaryotic Translation Elongation;Reactome::Eukaryotic Translation Termination;Reactome::Influenza Infection;Reactome::Influenza Viral RNA Transcription and Replication;Reactome::Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC);Reactome::Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC);Reactome::Nonsense-Mediated Decay (NMD);Reactome::PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA;Reactome::Peptide chain elongation;Reactome::Response of EIF2AK4 (GCN2) to amino acid deficiency;Reactome::SARS-CoV-1 modulates host translation machinery	Reactome	negative	10.561671912670135	17	1	CORE	BLD	weak	supported by multiple loading-ranked source features before downstream analyses
RPS14	Reactome::Cellular response to starvation;Reactome::Eukaryotic Translation Elongation;Reactome::Eukaryotic Translation Termination;Reactome::Influenza Infection;Reactome::Influenza Viral RNA Transcription and Replication;Reactome::Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC);Reactome::Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC);Reactome::Nonsense-Mediated Decay (NMD);Reactome::PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA;Reactome::Peptide chain elongation;Reactome::Response of EIF2AK4 (GCN2) to amino acid deficiency;Reactome::SARS-CoV-1 modulates host translation machinery	Reactome	negative	10.561671912670135	17	1	CORE	BLD	weak	supported by multiple loading-ranked source features before downstream analyses
