dataset	sample_name	axis	program_type	spatial_program	spot_spearman	n_spots	sample_accession
GSE225475	NS1	F1	CORE	keratinocyte_basal	0.3754525835585267	1340	
GSE225475	NS1	F1	CORE	keratinocyte_spinous_suprabasal	0.1166145042201765	1340	
GSE225475	NS1	F1	CORE	keratinocyte_inflammatory_T17	0.4390411591113689	1340	
GSE225475	NS1	F1	CORE	keratinocyte_stress_hypoxia	0.5151024035454017	1340	
GSE225475	NS1	F1	CORE	fibroblast_matrix	-0.2718198283360029	1340	
GSE225475	NS1	F1	CORE	fibroblast_inflammatory	0.159980530663728	1340	
GSE225475	NS1	F1	CORE	endothelial_vascular	0.4146457738037475	1340	
GSE225475	NS1	F1	CORE	myeloid_dendritic	0.4591422203721385	1340	
GSE225475	NS1	F1	CORE	T_NK_cytotoxic	0.1708951548904313	1340	
GSE225475	NS1	F1	CORE	B_plasma	0.1832513233048518	1340	
GSE225475	NS1	F1	EXTENDED	keratinocyte_basal	0.3997576856188494	1340	
GSE225475	NS1	F1	EXTENDED	keratinocyte_spinous_suprabasal	0.1029001565833453	1340	
GSE225475	NS1	F1	EXTENDED	keratinocyte_inflammatory_T17	0.4542378837272349	1340	
GSE225475	NS1	F1	EXTENDED	keratinocyte_stress_hypoxia	0.5546730081300406	1340	
GSE225475	NS1	F1	EXTENDED	fibroblast_matrix	-0.165384778719292	1340	
GSE225475	NS1	F1	EXTENDED	fibroblast_inflammatory	0.2180218327552672	1340	
GSE225475	NS1	F1	EXTENDED	endothelial_vascular	0.4078664360582439	1340	
GSE225475	NS1	F1	EXTENDED	myeloid_dendritic	0.4841475197423498	1340	
GSE225475	NS1	F1	EXTENDED	T_NK_cytotoxic	0.190435725725514	1340	
GSE225475	NS1	F1	EXTENDED	B_plasma	0.1863365770954636	1340	
GSE225475	NS1	F2	CORE	keratinocyte_basal	0.3757922029193966	1340	
GSE225475	NS1	F2	CORE	keratinocyte_spinous_suprabasal	0.0920543449336049	1340	
GSE225475	NS1	F2	CORE	keratinocyte_inflammatory_T17	0.4204210365200342	1340	
GSE225475	NS1	F2	CORE	keratinocyte_stress_hypoxia	0.5383718080087196	1340	
GSE225475	NS1	F2	CORE	fibroblast_matrix	-0.1122104490753524	1340	
GSE225475	NS1	F2	CORE	fibroblast_inflammatory	0.242389279489241	1340	
GSE225475	NS1	F2	CORE	endothelial_vascular	0.4133066990698646	1340	
GSE225475	NS1	F2	CORE	myeloid_dendritic	0.4893473616743236	1340	
GSE225475	NS1	F2	CORE	T_NK_cytotoxic	0.1966618882133396	1340	
GSE225475	NS1	F2	CORE	B_plasma	0.1847547975120811	1340	
GSE225475	NS1	F2	EXTENDED	keratinocyte_basal	0.3848500273194687	1340	
GSE225475	NS1	F2	EXTENDED	keratinocyte_spinous_suprabasal	0.0881376566514845	1340	
GSE225475	NS1	F2	EXTENDED	keratinocyte_inflammatory_T17	0.4300510710346698	1340	
GSE225475	NS1	F2	EXTENDED	keratinocyte_stress_hypoxia	0.5436877336847222	1340	
GSE225475	NS1	F2	EXTENDED	fibroblast_matrix	-0.1092496826382295	1340	
GSE225475	NS1	F2	EXTENDED	fibroblast_inflammatory	0.2465535776024648	1340	
GSE225475	NS1	F2	EXTENDED	endothelial_vascular	0.4100900433134135	1340	
GSE225475	NS1	F2	EXTENDED	myeloid_dendritic	0.4920387630879704	1340	
GSE225475	NS1	F2	EXTENDED	T_NK_cytotoxic	0.1965634311064726	1340	
GSE225475	NS1	F2	EXTENDED	B_plasma	0.1908499016114982	1340	
GSE225475	NS1	F6	CORE	keratinocyte_basal	0.4169443427560533	1340	
GSE225475	NS1	F6	CORE	keratinocyte_spinous_suprabasal	0.1424061430298109	1340	
GSE225475	NS1	F6	CORE	keratinocyte_inflammatory_T17	0.4450845545385569	1340	
GSE225475	NS1	F6	CORE	keratinocyte_stress_hypoxia	0.5513488977917765	1340	
GSE225475	NS1	F6	CORE	fibroblast_matrix	-0.1942699456529914	1340	
GSE225475	NS1	F6	CORE	fibroblast_inflammatory	0.1856488351789351	1340	
GSE225475	NS1	F6	CORE	endothelial_vascular	0.3929350530148118	1340	
GSE225475	NS1	F6	CORE	myeloid_dendritic	0.4599205013047757	1340	
GSE225475	NS1	F6	CORE	T_NK_cytotoxic	0.1770996587727267	1340	
GSE225475	NS1	F6	CORE	B_plasma	0.1760011397294498	1340	
GSE225475	NS1	F6	EXTENDED	keratinocyte_basal	0.4296492720326211	1340	
GSE225475	NS1	F6	EXTENDED	keratinocyte_spinous_suprabasal	0.1648203056953884	1340	
GSE225475	NS1	F6	EXTENDED	keratinocyte_inflammatory_T17	0.4676546595609282	1340	
GSE225475	NS1	F6	EXTENDED	keratinocyte_stress_hypoxia	0.5734072115226039	1340	
GSE225475	NS1	F6	EXTENDED	fibroblast_matrix	-0.2075817862235354	1340	
