source_table	Outcome	system	rg	SE	Z	P	FDR	h2_psoriasis	h2_psoriasis_SE	h2_outcome	h2_outcome_SE	outcome_intercept	cross_trait_intercept	QC_status	phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p	locus	chr	start	stop	outcome	univ_p_psoriasis	univ_p_outcome	fdr_within_outcome	z_approx	se_approx	direction	pair_scope	fdr_all_tests	validation_priority	rho_1000g	p_1000g	h2_psoriasis_1000g	h2_outcome_1000g	univ_p_psoriasis_1000g	univ_p_outcome_1000g	rho_ukb	se_approx_ukb	z_approx_ukb	p_ukb	h2_psoriasis_ukb	h2_outcome_ukb	univ_p_psoriasis_ukb	univ_p_outcome_ukb	status	ukb_status	direction_ukb	direction_concordant	ukb_local_h2_reliable	ukb_fdr_within_outcome	phase4br_tier	phase4c_coloc_eligible
results/phase4a/phase4a_ldsc_rg_results.tsv	Psoriatic arthritis	musculoskeletal_autoimmune	1.1715	0.0751	15.6049	6.7461e-55	4.0476600000000004e-54	0.2093	0.0197	0.1519	0.0276	1.0278	0.3142	CROSS_TRAIT_INTERCEPT_ELEVATED;NEAR_NEIGHBOR_PHENOTYPE																																													
results/phase4a/phase4a_ldsc_rg_results.tsv	Crohn disease	intestinal_autoimmune	-0.2717	0.0449	-6.0516	1.434e-09	2.868e-09	0.2093	0.0197	0.4184	0.0443	1.1144	-0.0636	ELEVATED_H2_INTERCEPT;CROSS_TRAIT_INTERCEPT_ELEVATED																																													
results/phase4a/phase4a_ldsc_rg_results.tsv	Ulcerative colitis	intestinal_autoimmune	-0.2233	0.0409	-5.4578	4.8195e-08	7.22925e-08	0.2093	0.0197	0.245	0.0227	1.0933	-0.0625	ELEVATED_H2_INTERCEPT;CROSS_TRAIT_INTERCEPT_ELEVATED																																													
results/phase4a/phase4a_ldsc_rg_results.tsv	Coronary artery disease	cardiometabolic_vascular	0.1732	0.0274	6.3271	2.4979e-10	7.4937e-10	0.2093	0.0197	0.0583	0.0033	0.9952	0.0189	PASS																																													
results/phase4a/phase4a_ldsc_rg_results.tsv	Ischemic stroke	cardiometabolic_vascular	0.0255	0.0589	0.4334	0.6647	0.7912	0.2093	0.0197	0.0086	0.0016	1.0569	0.0156	PASS																																													
results/phase4a/phase4a_ldsc_rg_results.tsv	Chronic kidney disease	renal	0.0118	0.0445	0.2648	0.7912	0.7912	0.2093	0.0197	0.0136	0.0019	1.0753	0.0102	PASS																																													
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00722254		0.00106526					cad	psoriasis	0.178628			0.0319079			0.0026274	2318.0	19.0	10028841.0	11681978.0	cad	1.28165e-97	1.06178e-70	0.0258361	3.00826953250162	0.0593789878433719	positive	primary_systemic	0.0258361																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00183556		0.0004039					cad	psoriasis	0.159299			0.0253762			0.161496	1674.0	11.0	64594823.0	66782661.0	cad	7.23945e-18	3.08153e-22	0.359991283018868	1.40005783564366	0.11378029960224	positive	primary_systemic	0.359991283018868																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.0017		0.000545205					cad	psoriasis	0.0958644			0.00918998			0.394178	1351.0	8.0	125453323.0	126766827.0	cad	4.26919e-13	3.53731e-28	0.596320564102564	0.85206502968117	0.112508314108221	positive	primary_systemic	0.596320564102564																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00156785		0.000340963					cad	psoriasis	0.605075			0.366116			3.36079e-06	1841.0	12.0	111592382.0	113947983.0	cad	1.63386e-13	1.02772e-16	0.0001321910733333	4.64744049273979	0.130195319540991	positive	primary_systemic	0.0001321910733333																							
