outcome	phase4c_role	locus	chr	start	stop	phase4br_tier	coloc_priority	local_direction_group	rho_1000g	p_1000g	rho_ukb	p_ukb	ukb_fdr_within_outcome	h2_psoriasis_ukb	h2_outcome_ukb	eqtl_tissue_priority	validation_priority
cad	primary_systemic_cardiovascular	347	2	161432090	163607635	Tier 1	primary_coloc	positive_local_rg	0.650751	5.23986e-08	0.979148	1.66512e-07	1.998144e-06	0.00399184	7.96629e-05	skin;blood;vascular_arterial	CAD_globalFDR_positive
cad	primary_systemic_cardiovascular	1841	12	111592382	113947983	Tier 1	primary_coloc	positive_local_rg	0.605075	3.36079e-06	0.517062	0.000357206	0.0021432359999999	0.00122398	0.00031469	skin;blood;vascular_arterial	CAD_globalFDR_positive
cad	primary_systemic_cardiovascular	113	1	154685546	156813845	Tier 1	primary_coloc	positive_local_rg	0.631202	6.82732e-05	0.704651	0.00467655	0.0187062	0.000879902	0.000120721	skin;blood;vascular_arterial	CAD_globalFDR_positive
cad	primary_systemic_cardiovascular	267	2	59251997	60775066	Tier 1	primary_coloc	positive_local_rg	0.560739	5.32938e-05	0.560049	0.0155112	0.04387488	0.000576239	0.000239521	skin;blood;vascular_arterial	CAD_globalFDR_positive
cad	primary_systemic_cardiovascular	2318	19	10028841	11681978	Tier 1	primary_coloc	positive_local_rg	0.178628	0.0026274	0.185281	0.0182812	0.04387488	0.00420482	0.000696774	skin;blood;vascular_arterial	CAD_globalFDR_positive
cad	primary_systemic_cardiovascular	2412	20	48212976	49236418	Tier 2	sensitivity_coloc	positive_local_rg	0.461416	0.000622464	0.457287	0.0347236	0.0694472	0.00212413	6.78586e-05	skin;blood;vascular_arterial	CAD_globalFDR_positive
cad	primary_systemic_cardiovascular	1850	12	121817510	123396634	Tier 2	sensitivity_coloc	positive_local_rg	0.692959	8.38759e-05	0.392168	0.0607238	0.1040979428571428	0.000832917	0.000125927	skin;blood;vascular_arterial	CAD_globalFDR_positive
cad	primary_systemic_cardiovascular	785	5	9203856	10549029	Tier 2	sensitivity_coloc	positive_local_rg	0.378708	0.0108235	0.613094	0.120297	0.1804455	0.000521309	7.94076e-05	skin;blood;vascular_arterial	CAD_globalFDR_positive
cad	primary_systemic_cardiovascular	313	2	121073753	122026817	Tier 2	sensitivity_coloc	positive_local_rg	0.457099	0.0103237	0.38943	0.146238	0.194984	0.000366917	0.000210043	skin;blood;vascular_arterial	CAD_globalFDR_positive
cad	primary_systemic_cardiovascular	893	5	141253831	142532956	Tier 2	sensitivity_coloc	positive_local_rg	0.374403	0.00891747	0.254529	0.230217	0.2762604	0.000725167	0.000222403	skin;blood;vascular_arterial	CAD_globalFDR_positive
