phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p	locus	chr	start	stop	outcome	univ_p_psoriasis	univ_p_outcome	h2_psoriasis	h2_outcome	fdr_within_outcome	z_approx	se_approx	direction	pair_scope
cad	psoriasis	0.178628	NA	NA	0.0319079	NA	NA	0.0026274	2318	19	10028841	11681978	cad	1.28165e-97	1.06178e-70	0.00722254	0.00106526	0.0258361	3.00826953250162	0.0593789878433719	positive	primary_systemic
cad	psoriasis	0.159299	NA	NA	0.0253762	NA	NA	0.161496	1674	11	64594823	66782661	cad	7.23945e-18	3.08153e-22	0.00183556	0.0004039	0.359991283018868	1.40005783564366	0.11378029960224	positive	primary_systemic
cad	psoriasis	0.0958644	NA	NA	0.00918998	NA	NA	0.394178	1351	8	125453323	126766827	cad	4.26919e-13	3.53731e-28	0.0017	0.000545205	0.596320564102564	0.85206502968117	0.112508314108221	positive	primary_systemic
cad	psoriasis	0.605075	NA	NA	0.366116	NA	NA	3.36079e-06	1841	12	111592382	113947983	cad	1.63386e-13	1.02772e-16	0.00156785	0.000340963	0.000132191073333333	4.64744049273979	0.130195319540991	positive	primary_systemic
cad	psoriasis	-0.162093	NA	NA	0.026274	NA	NA	0.234027	36	1	38474037	40200950	cad	3.0346e-12	1.9046e-12	0.00166447	0.0003138	0.42975423880597	1.19004933993054	0.136206957611909	negative	primary_systemic
cad	psoriasis	-0.13054	NA	NA	0.0170407	NA	NA	0.242836	1559	10	79952997	81190573	cad	7.55828e-27	3.65991e-13	0.00298227	0.000344584	0.42975423880597	1.16792752574323	0.11177063398427	negative	primary_systemic
cad	psoriasis	-0.178311	NA	NA	0.0317947	NA	NA	0.161691	927	6	1380680	2746531	cad	4.6699e-12	7.20635e-16	0.00175793	0.000398211	0.359991283018868	1.399406896444	0.127418980464582	negative	primary_systemic
cad	psoriasis	-0.152473	NA	NA	0.0232479	NA	NA	0.200019	1453	9	109150718	110630150	cad	1.5446e-10	3.56441e-26	0.00156912	0.000554427	0.402388	1.28149743585347	0.118980339510749	negative	primary_systemic
cad	psoriasis	-0.149692	NA	NA	0.0224077	NA	NA	0.230936	2026	14	99474534	100786189	cad	6.89131e-10	3.93994e-24	0.00140323	0.000494497	0.42975423880597	1.1979512400713	0.124956671851761	negative	primary_systemic
cad	psoriasis	0.237046	NA	NA	0.0561909	NA	NA	0.0743679	1569	10	89971629	91021321	cad	4.95049e-20	3.79508e-10	0.00206158	0.000238326	0.228319085	1.78434328975661	0.132847754891568	positive	primary_systemic
cad	psoriasis	-0.00984539	NA	NA	9.69317e-05	NA	NA	0.945467	898	5	148662215	149850203	cad	3.01663e-10	1.54301e-11	0.00148126	0.000302793	0.966629551724138	0.0684002786761472	0.143937863858928	negative	primary_systemic
cad	psoriasis	0.304695	NA	NA	0.0928392	NA	NA	0.0458501	112	1	153410810	154685545	cad	4.9583e-13	3.43597e-10	0.00128161	0.000199648	0.178195225806452	1.99677068020211	0.152593887230535	positive	primary_systemic
cad	psoriasis	0.320644	NA	NA	0.102813	NA	NA	0.0378069	906	5	156345452	157191081	cad	3.37449e-12	5.56977e-10	0.00125034	0.00020288	0.153834972413793	2.07694213762499	0.15438273131993	positive	primary_systemic
cad	psoriasis	0.0691679	NA	NA	0.0047842	NA	NA	0.61634	2230	17	73741322	74908266	cad	1.01614e-14	4.25926e-11	0.00165673	0.000253741	0.807988791208791	0.501044223106619	0.138047495231337	positive	primary_systemic
cad	psoriasis	-0.0316535	NA	NA	0.00100194	NA	NA	0.825139	1966	14	33591114	34695195	cad	1.61952e-10	1.14863e-10	0.00168994	0.00032051	0.913102747663551	0.220940194486959	0.143267276800865	negative	primary_systemic
cad	psoriasis	0.278778	NA	NA	0.0777171	NA	NA	0.0615684	1209	7	130418705	131856481	cad	1.30705e-10	9.92266e-10	0.00155902	0.000274532	0.217292141176471	1.86939125751336	0.149127690032544	positive	primary_systemic
cad	psoriasis	-0.37575	NA	NA	0.141188	NA	NA	0.0123363	2432	21	15840034	16873443	cad	4.1917e-09	3.74847e-12	0.00127846	0.000293212	0.0632905826086956	2.5023755162302	0.15015731954014	negative	primary_systemic
cad	psoriasis	0.560739	NA	NA	0.314428	NA	NA	5.32938e-05	267	2	59251997	60775066	cad	4.50952e-09	7.00011e-17	0.00132195	0.000387675	0.0015721671	4.04069161702655	0.138773025300217	positive	primary_systemic
cad	psoriasis	0.168587	NA	NA	0.0284217	NA	NA	0.201194	2205	17	40233546	42348003	cad	6.828e-25	3.61117e-09	0.00234792	0.000212978	0.402388	1.27815721077855	0.131898485239786	positive	primary_systemic
