axis	program_type	refined_state	parent_cell_type	n_donors	mean_LS_minus_NL	bootstrap_ci_low	bootstrap_ci_high	signflip_p	mean_cells_per_donor_state	fdr_by_program_type
F1	CORE	B_cell_plasma	B_cell	5	-0.02563174319081904	-0.043689809331577754	-0.007856300049043077	0.09090909090909091	70.4	0.4
F1	CORE	B_cell_unresolved	B_cell	5	-0.039800347938849547	-0.05292692506081004	-0.026673770816889052	0.09090909090909091	412.8	0.4
F1	CORE	T_cell_TRM_T17_like	T_cell	5	0.008251017162269175	-0.02131742409436612	0.042856614559894105	0.696969696969697	80.83333333333333	0.8761904761904762
F1	CORE	T_cell_unresolved	T_cell	0					2.5	
F1	CORE	cytotoxic_NK_T	NK_cell	5	-0.011805350076256133	-0.051129643326389564	0.021195247754887264	0.6363636363636364	32.625	0.835820895522388
F1	CORE	dendritic_LAMP3_CCR7	dendritic	5	-0.017622987080495284	-0.04370981105685291	0.010511273437029456	0.3333333333333333	77.1	0.624113475177305
F1	CORE	dendritic_unresolved	dendritic	1	0.04401904198096196	0.04401904198096196	0.04401904198096196	1.0	2.0	1.0
F1	CORE	endothelial_activated	endothelial	5	-0.014558227185167593	-0.022917030925901315	-0.003476597414914284	0.15151515151515152	382.1	0.4444444444444445
F1	CORE	endothelial_vascular	endothelial	5	-0.005134941968642054	-0.018342990680800208	0.010612240473782597	0.5757575757575758	320.2	0.7916666666666667
F1	CORE	fibroblast_homeostatic_matrix	fibroblast	5	-0.01776728189572646	-0.030875542837884594	-0.005007964407555417	0.15151515151515152	2306.0	0.4444444444444445
F1	CORE	fibroblast_inflammatory	fibroblast	5	-0.006039536027103653	-0.03104690315374765	0.018967831099540346	0.8787878787878788	129.8	0.9666666666666666
F1	CORE	keratinocyte_IFN_response	keratinocyte	5	0.00796241937733121	-0.03056738342953849	0.05312808468371728	0.8181818181818182	5.7	0.9230769230769231
F1	CORE	keratinocyte_basal	keratinocyte	5	0.04509500555768708	0.028112942544753494	0.06256418712273204	0.09090909090909091	2325.5	0.4
F1	CORE	keratinocyte_inflammatory_T17	keratinocyte	5	0.05741257971106084	0.024371464800768395	0.09213512103564127	0.09090909090909091	2309.8	0.4
F1	CORE	keratinocyte_proliferative	keratinocyte	5	-0.006605469406626319	-0.04173468998045299	0.03278869221454115	0.7575757575757576	7.3	0.888888888888889
F1	CORE	keratinocyte_spinous_suprabasal	keratinocyte	5	-0.004856416412206915	-0.022087718215683644	0.013938661858763912	0.696969696969697	1827.5	0.8761904761904762
F1	CORE	keratinocyte_stress_hypoxia	keratinocyte	5	0.004864123017961908	-0.029632904665514194	0.04022305954932133	0.8787878787878788	25.3	0.9666666666666666
F1	CORE	mast_cell	mast_cell	5	-0.04553309577765678	-0.055310433335061956	-0.035604051070059296	0.09090909090909091	238.3	0.4
F1	CORE	melanocyte_unresolved	melanocyte	5	-0.017162254023205658	-0.029218235591116547	-0.00491153728374284	0.15151515151515152	272.3	0.4444444444444445
F1	CORE	myeloid_monocyte_macrophage	dendritic	5	-0.027719204057151725	-0.040475257615569374	-0.011027865098843992	0.15151515151515152	348.75	0.4444444444444445
F1	CORE	myeloid_monocyte_unresolved	myeloid_monocyte	3	-0.022315047814142636	-0.03340715283361123	-0.0047901022117565195	0.3333333333333333	5.75	0.624113475177305
F1	CORE	pericyte_smooth_muscle_unresolved	pericyte_smooth_muscle	5	-0.00031348341522702825	-0.012872301142093956	0.012945275752183847	1.0	682.5	1.0
F1	CORE	unassigned_unresolved	unassigned	3	-0.07795742848424123	-0.1401624787897488	0.0008698530676067018	0.5555555555555556	23.375	0.7916666666666667
F1	EXTENDED	B_cell_plasma	B_cell	5	-0.016046090357147567	-0.031103462208684506	-0.003579027132291912	0.15151515151515152	70.4	0.4444444444444445
F1	EXTENDED	B_cell_unresolved	B_cell	5	-0.02813774939540889	-0.04092391493007229	-0.015351583860745494	0.09090909090909091	412.8	0.4444444444444444
F1	EXTENDED	T_cell_TRM_T17_like	T_cell	5	0.0019887742632770434	-0.018362636136634313	0.024830060454067555	0.8181818181818182	80.83333333333333	0.9473684210526315
F1	EXTENDED	T_cell_unresolved	T_cell	0					2.5	
F1	EXTENDED	cytotoxic_NK_T	NK_cell	5	0.0015766755881976402	-0.017912229055541108	0.021065580231936387	0.8787878787878788	32.625	0.9666666666666666
F1	EXTENDED	dendritic_LAMP3_CCR7	dendritic	5	-0.013225564846726606	-0.032454280283670395	0.010992725998954473	0.3939393939393939	77.1	0.6419753086419753
F1	EXTENDED	dendritic_unresolved	dendritic	1	0.016330362938709084	0.016330362938709084	0.016330362938709084	1.0	2.0	1.0
F1	EXTENDED	endothelial_activated	endothelial	5	-0.009621966367537265	-0.015807862156875713	-0.003102622207305228	0.15151515151515152	382.1	0.4444444444444445
F1	EXTENDED	endothelial_vascular	endothelial	5	-0.002159298057045095	-0.012733394875990085	0.009398702347650834	0.7575757575757576	320.2	0.9473684210526315
F1	EXTENDED	fibroblast_homeostatic_matrix	fibroblast	5	-0.013112021095150467	-0.025119300992756565	-0.0011047411975443678	0.21212121212121213	2306.0	0.5333333333333333
F1	EXTENDED	fibroblast_inflammatory	fibroblast	5	0.0028261220594741955	-0.01890784184075676	0.025551513120426035	0.7575757575757576	129.8	0.9473684210526315
F1	EXTENDED	keratinocyte_IFN_response	keratinocyte	5	0.020244525340829662	-0.007544771546325041	0.04803382222798437	0.3333333333333333	5.7	0.5866666666666667
F1	EXTENDED	keratinocyte_basal	keratinocyte	5	0.03058306145623594	0.019464373893220997	0.04199184679599617	0.09090909090909091	2325.5	0.4444444444444444
F1	EXTENDED	keratinocyte_inflammatory_T17	keratinocyte	5	0.038760423046285436	0.009416148028156084	0.0702583996704124	0.15151515151515152	2309.8	0.4444444444444445
F1	EXTENDED	keratinocyte_proliferative	keratinocyte	5	-0.0029619370624487606	-0.021812039030180818	0.01595772770329097	0.9393939393939394	7.3	0.995983935742972
F1	EXTENDED	keratinocyte_spinous_suprabasal	keratinocyte	5	-0.00789010154694395	-0.021347147404594886	0.0055669443107069835	0.3939393939393939	1827.5	0.6419753086419753
F1	EXTENDED	keratinocyte_stress_hypoxia	keratinocyte	5	0.016023385961051222	-0.008719387177007954	0.0454934514705706	0.3939393939393939	25.3	0.6419753086419753
F1	EXTENDED	mast_cell	mast_cell	5	-0.033861717031081914	-0.03680326412645829	-0.030854628646277492	0.09090909090909091	238.3	0.4444444444444444
F1	EXTENDED	melanocyte_unresolved	melanocyte	5	-0.011667989383535377	-0.020044266847128706	-0.0019903374540652164	0.15151515151515152	272.3	0.4444444444444445
F1	EXTENDED	myeloid_monocyte_macrophage	dendritic	5	-0.01849632210405059	-0.03074061135655078	-0.003319003992012226	0.15151515151515152	348.75	0.4444444444444445
F1	EXTENDED	myeloid_monocyte_unresolved	myeloid_monocyte	3	0.00342786905306774	-0.016236398386626064	0.023066824588289514	0.7777777777777778	5.75	0.9473684210526315
