program	skin_compartment	n_common_features	n_pairs	primary_rho	absolute_primary_rho	bootstrap_median_absolute_rho	bootstrap_2.5_percentile	bootstrap_97.5_percentile
F1	Lesional skin	424	24	-0.688398	0.688398	0.679209	0.626412	0.722124
F1	Non-lesional skin	423	24	-0.045827	0.045827	0.047811	0.007901	0.084686
F2	Lesional skin	424	24	0.083115	0.083115	0.080257	0.044395	0.121018
F2	Non-lesional skin	423	24	-0.518229	0.518229	0.512497	0.445824	0.580716
F3	Lesional skin	424	24	0.011094	0.011094	0.014875	0.000667	0.048591
F3	Non-lesional skin	423	24	-0.356222	0.356222	0.348111	0.303300	0.390501
F4	Lesional skin	424	24	0.074830	0.074830	0.074585	0.040342	0.110732
F4	Non-lesional skin	423	24	-0.152453	0.152453	0.149118	0.102760	0.191157
F5	Lesional skin	424	24	-0.355320	0.355320	0.349672	0.292860	0.400587
F5	Non-lesional skin	423	24	-0.083430	0.083430	0.078394	0.035422	0.116516
F6	Lesional skin	424	24	0.375292	0.375292	0.369848	0.324793	0.411495
F6	Non-lesional skin	423	24	0.184443	0.184443	0.180690	0.147777	0.214724
F7	Lesional skin	424	24	0.119979	0.119979	0.119389	0.093653	0.146997
F7	Non-lesional skin	423	24	0.203905	0.203905	0.202980	0.166446	0.237009
F8	Lesional skin	424	24	-0.128702	0.128702	0.123431	0.072358	0.177226
F8	Non-lesional skin	423	24	-0.196730	0.196730	0.194672	0.130612	0.249883
