axis	program_type	cell_type	n_donors	mean_LS_minus_NL	bootstrap_ci_low	bootstrap_ci_high	signflip_p	fdr_by_program_type
F1	CORE	B_cell	5	-0.032863154049155505	-0.044187570011373176	-0.021868450595088684	0.09090909090909091	0.3636363636363636
F1	CORE	NK_cell	5	-0.010378541290644305	-0.05193860966667613	0.031181527085387517	0.7575757575757576	0.8658008658008657
F1	CORE	T_cell	5	0.008814999444927234	-0.017691284139271422	0.04043643477384219	0.696969696969697	0.8578088578088577
F1	CORE	dendritic	5	-0.02198711149922966	-0.03221212937890431	-0.006734330502533137	0.15151515151515152	0.42424242424242425
F1	CORE	endothelial	5	-0.0093456833275955	-0.02064685722194747	0.005452821026772847	0.2727272727272727	0.4675324675324675
F1	CORE	fibroblast	5	-0.01626253878309869	-0.02979514342910161	-0.00314449136339488	0.15151515151515152	0.42424242424242425
F1	CORE	keratinocyte	5	0.03539591046858689	0.02456145000596236	0.04623037093121142	0.09090909090909091	0.3636363636363636
F1	CORE	mast_cell	5	-0.04553309577765678	-0.055310433335061956	-0.035604051070059296	0.09090909090909091	0.3636363636363636
F1	CORE	melanocyte	5	-0.017162254023205658	-0.029218235591116547	-0.00491153728374284	0.15151515151515152	0.42424242424242425
F1	CORE	myeloid_monocyte	5	-0.030024175520328416	-0.04655532215441296	-0.0075769637348671835	0.15151515151515152	0.42424242424242425
F1	CORE	pericyte_smooth_muscle	5	-0.00031348341522702825	-0.012872301142093956	0.012945275752183847	1.0	1.0
F1	CORE	unassigned	3	-0.07795742848424123	-0.1401624787897488	0.0008698530676067018	0.5555555555555556	0.7896103896103898
F1	EXTENDED	B_cell	5	-0.022124621680150437	-0.0329435991053978	-0.011987301893091157	0.09090909090909091	0.3636363636363636
F1	EXTENDED	NK_cell	5	0.0068720986520690915	-0.016571444943812345	0.03509243675330788	0.7575757575757576	0.808080808080808
F1	EXTENDED	T_cell	5	0.0060075073082741515	-0.014735084136249316	0.028713562816980072	0.696969696969697	0.808080808080808
F1	EXTENDED	dendritic	5	-0.016085439036808764	-0.023682632658739218	-0.003869524792187618	0.15151515151515152	0.38277511961722493
F1	EXTENDED	endothelial	5	-0.005825948639610034	-0.014089240173915534	0.0031901666373054306	0.3333333333333333	0.48484848484848486
F1	EXTENDED	fibroblast	5	-0.011270182905791858	-0.02361622982645676	0.0010758640148730402	0.21212121212121213	0.42424242424242425
