outcome	tissue	n_candidate_loci	n_probes_requested	status	exit_code	output_prefix	smr_file	log_file	n_smr_results
cad	Skin_Sun_Exposed_Lower_leg	12	304	PASS	0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/cad__Skin_Sun_Exposed_Lower_leg	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/cad__Skin_Sun_Exposed_Lower_leg.smr	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/logs/phase4c_smr/restricted/cad__Skin_Sun_Exposed_Lower_leg.log	93
cad	Skin_Not_Sun_Exposed_Suprapubic	12	310	PASS	0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/cad__Skin_Not_Sun_Exposed_Suprapubic	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/cad__Skin_Not_Sun_Exposed_Suprapubic.smr	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/logs/phase4c_smr/restricted/cad__Skin_Not_Sun_Exposed_Suprapubic.log	83
cad	Whole_Blood	12	284	PASS	0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/cad__Whole_Blood	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/cad__Whole_Blood.smr	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/logs/phase4c_smr/restricted/cad__Whole_Blood.log	97
cad	Artery_Coronary	12	293	PASS	0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/cad__Artery_Coronary	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/cad__Artery_Coronary.smr	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/logs/phase4c_smr/restricted/cad__Artery_Coronary.log	14
cad	Artery_Aorta	12	285	PASS	0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/cad__Artery_Aorta	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/cad__Artery_Aorta.smr	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/logs/phase4c_smr/restricted/cad__Artery_Aorta.log	58
cad	Artery_Tibial	12	280	PASS	0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/cad__Artery_Tibial	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/cad__Artery_Tibial.smr	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/logs/phase4c_smr/restricted/cad__Artery_Tibial.log	76
psa	Skin_Sun_Exposed_Lower_leg	10	290	PASS	0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/psa__Skin_Sun_Exposed_Lower_leg	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/psa__Skin_Sun_Exposed_Lower_leg.smr	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/logs/phase4c_smr/restricted/psa__Skin_Sun_Exposed_Lower_leg.log	80
psa	Skin_Not_Sun_Exposed_Suprapubic	10	290	PASS	0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/psa__Skin_Not_Sun_Exposed_Suprapubic	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/psa__Skin_Not_Sun_Exposed_Suprapubic.smr	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/logs/phase4c_smr/restricted/psa__Skin_Not_Sun_Exposed_Suprapubic.log	71
psa	Whole_Blood	10	263	PASS	0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/psa__Whole_Blood	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/psa__Whole_Blood.smr	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/logs/phase4c_smr/restricted/psa__Whole_Blood.log	89
psa	Spleen	10	295	PASS	0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/psa__Spleen	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/psa__Spleen.smr	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/logs/phase4c_smr/restricted/psa__Spleen.log	50
psa	Cells_EBV-transformed_lymphocytes	10	283	PASS	0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/psa__Cells_EBV-transformed_lymphocytes	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/psa__Cells_EBV-transformed_lymphocytes.smr	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/logs/phase4c_smr/restricted/psa__Cells_EBV-transformed_lymphocytes.log	22
crohn	Skin_Sun_Exposed_Lower_leg	12	119	PASS	0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/crohn__Skin_Sun_Exposed_Lower_leg	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/crohn__Skin_Sun_Exposed_Lower_leg.smr	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/logs/phase4c_smr/restricted/crohn__Skin_Sun_Exposed_Lower_leg.log	42
crohn	Skin_Not_Sun_Exposed_Suprapubic	12	119	PASS	0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/crohn__Skin_Not_Sun_Exposed_Suprapubic	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/crohn__Skin_Not_Sun_Exposed_Suprapubic.smr	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/logs/phase4c_smr/restricted/crohn__Skin_Not_Sun_Exposed_Suprapubic.log	35
crohn	Whole_Blood	12	111	PASS	0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/crohn__Whole_Blood	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/crohn__Whole_Blood.smr	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/logs/phase4c_smr/restricted/crohn__Whole_Blood.log	43
crohn	Colon_Sigmoid	12	126	PASS	0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/crohn__Colon_Sigmoid	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/crohn__Colon_Sigmoid.smr	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/logs/phase4c_smr/restricted/crohn__Colon_Sigmoid.log	28
