outcome	tissue	n_candidate_loci	n_probes_requested	status	exit_code	output_prefix	smr_file	log_file	n_smr_results
cad	Skin_Sun_Exposed_Lower_leg	12	304	PASS	0	results/phase4c_smr/probe2mb/cad__Skin_Sun_Exposed_Lower_leg	results/phase4c_smr/probe2mb/cad__Skin_Sun_Exposed_Lower_leg.smr	logs/phase4c_smr/probe2mb/cad__Skin_Sun_Exposed_Lower_leg.log	93
cad	Skin_Not_Sun_Exposed_Suprapubic	12	310	PASS	0	results/phase4c_smr/probe2mb/cad__Skin_Not_Sun_Exposed_Suprapubic	results/phase4c_smr/probe2mb/cad__Skin_Not_Sun_Exposed_Suprapubic.smr	logs/phase4c_smr/probe2mb/cad__Skin_Not_Sun_Exposed_Suprapubic.log	83
cad	Whole_Blood	12	284	PASS	0	results/phase4c_smr/probe2mb/cad__Whole_Blood	results/phase4c_smr/probe2mb/cad__Whole_Blood.smr	logs/phase4c_smr/probe2mb/cad__Whole_Blood.log	97
cad	Artery_Coronary	12	293	PASS	0	results/phase4c_smr/probe2mb/cad__Artery_Coronary	results/phase4c_smr/probe2mb/cad__Artery_Coronary.smr	logs/phase4c_smr/probe2mb/cad__Artery_Coronary.log	14
cad	Artery_Aorta	12	285	PASS	0	results/phase4c_smr/probe2mb/cad__Artery_Aorta	results/phase4c_smr/probe2mb/cad__Artery_Aorta.smr	logs/phase4c_smr/probe2mb/cad__Artery_Aorta.log	59
cad	Artery_Tibial	12	280	PASS	0	results/phase4c_smr/probe2mb/cad__Artery_Tibial	results/phase4c_smr/probe2mb/cad__Artery_Tibial.smr	logs/phase4c_smr/probe2mb/cad__Artery_Tibial.log	79
psa	Skin_Sun_Exposed_Lower_leg	10	290	PASS	0	results/phase4c_smr/probe2mb/psa__Skin_Sun_Exposed_Lower_leg	results/phase4c_smr/probe2mb/psa__Skin_Sun_Exposed_Lower_leg.smr	logs/phase4c_smr/probe2mb/psa__Skin_Sun_Exposed_Lower_leg.log	82
psa	Skin_Not_Sun_Exposed_Suprapubic	10	290	PASS	0	results/phase4c_smr/probe2mb/psa__Skin_Not_Sun_Exposed_Suprapubic	results/phase4c_smr/probe2mb/psa__Skin_Not_Sun_Exposed_Suprapubic.smr	logs/phase4c_smr/probe2mb/psa__Skin_Not_Sun_Exposed_Suprapubic.log	73
psa	Whole_Blood	10	263	PASS	0	results/phase4c_smr/probe2mb/psa__Whole_Blood	results/phase4c_smr/probe2mb/psa__Whole_Blood.smr	logs/phase4c_smr/probe2mb/psa__Whole_Blood.log	90
psa	Spleen	10	295	PASS	0	results/phase4c_smr/probe2mb/psa__Spleen	results/phase4c_smr/probe2mb/psa__Spleen.smr	logs/phase4c_smr/probe2mb/psa__Spleen.log	51
