outcome	tissue	n_results	n_global_fdr	n_global_fdr_heidi	min_p_smr	min_fdr_global
cad	Skin_Sun_Exposed_Lower_leg	93	11	11	7.346519e-11	6.936338355833333e-09
cad	Skin_Not_Sun_Exposed_Suprapubic	83	10	7	5.061803e-09	2.2057779996153848e-07
cad	Artery_Tibial	79	10	9	7.3908e-08	2.462875411764706e-06
cad	Artery_Aorta	59	8	5	3.246199e-07	8.970593821951218e-06
cad	Whole_Blood	97	11	10	7.687751e-07	1.8026580314285713e-05
cad	Artery_Coronary	14	2	2	2.211949e-05	0.00029834978773809524
crohn	Skin_Sun_Exposed_Lower_leg	43	15	10	8.315392999999999e-19	9.421340269e-16
crohn	Skin_Not_Sun_Exposed_Suprapubic	36	11	7	4.5976370000000004e-17	2.6045613605000003e-14
crohn	Whole_Blood	46	14	6	4.921599e-16	1.8587238890000002e-13
crohn	Spleen	26	8	4	7.38981e-13	1.395442455e-10
crohn	Colon_Transverse	33	9	6	2.78993e-10	1.97561918125e-08
crohn	Colon_Sigmoid	29	10	5	3.845005e-10	2.420217036111111e-08
crohn	Cells_EBV-transformed_lymphocytes	5	2	0	5.056067e-07	1.3019372525e-05
psa	Skin_Not_Sun_Exposed_Suprapubic	73	19	14	1.805542e-14	5.114197715e-12
psa	Skin_Sun_Exposed_Lower_leg	82	14	12	3.113118e-11	3.91906966e-09
psa	Spleen	51	9	7	3.882572e-11	4.398954076e-09
psa	Whole_Blood	90	18	12	9.460391e-10	4.6602708708695655e-08
psa	Cells_EBV-transformed_lymphocytes	22	5	5	5.535697e-08	1.9599827190625e-06
uc	Whole_Blood	37	14	10	3.550683e-12	5.747034055714286e-10
uc	Spleen	24	9	6	5.476116e-11	5.64039948e-09
uc	Cells_EBV-transformed_lymphocytes	9	2	2	3.437696e-10	2.2911232752941176e-08
uc	Colon_Transverse	21	6	5	1.921433e-09	8.707934356000001e-08
uc	Colon_Sigmoid	19	6	5	1.007496e-07	3.1708138000000003e-06
uc	Skin_Sun_Exposed_Lower_leg	32	13	9	9.977002e-07	2.1328194841509436e-05
uc	Skin_Not_Sun_Exposed_Suprapubic	30	10	5	4.824645e-05	0.0005200219045794392
