feature_id	feature_family	feature_name	n_genes_defined	n_genes_present	genes_present	view	cohort
Hallmark::HALLMARK_ADIPOGENESIS	Hallmark	HALLMARK_ADIPOGENESIS	200	197	ABCA1;ABCB8;ACAA2;ACADL;ACADM;ACADS;ACLY;ACO2;ACOX1;ADCY6;ADIPOQ;ADIPOR2;AGPAT3;AIFM1;AK2;ALDH2;ALDOA;ANGPT1;ANGPTL4;APLP2;APOE;ARAF;ARL4A;ATL2;ATP1B3;ATP5PO;BAZ2A;BCKDHA;BCL2L13;BCL6;C3;CAT;CAVIN1;CAVIN2;CCNG2;CD151;CD302;CD36;CDKN2C;CHCHD10;CHUK;CIDEA;CMBL;CMPK1;COL15A1;COL4A1;COQ3;COQ5;COQ9;COX6A1;COX7B;COX8A;CPT2;CRAT;CS;CYC1;CYP4B1;DBT;DDT;DECR1;DGAT1;DHCR7;DHRS7;DHRS7B;DLAT;DLD;DNAJB9;DNAJC15;DRAM2;ECH1;ECHS1;ELMOD3;ELOVL6;ENPP2;EPHX2;ESRRA;ESYT1;ETFB;FABP4;FAH;FZD4;G3BP2;GADD45A;GBE1;GHITM;GPAM;GPAT4;GPD2;GPHN;GPX3;GPX4;GRPEL1;HADH;HIBCH;HSPB8;IDH1;IDH3A;IDH3G;IFNGR1;IMMT;ITGA7;ITIH5;ITSN1;JAGN1;LAMA4;LEP;LIFR;LIPE;LPCAT3;LPL;LTC4S;MAP4K3;MCCC1;MDH2;ME1;MGLL;MGST3;MIGA2;MRAP;MRPL15;MTARC2;MTCH2;MYLK;NABP1;NDUFA5;NDUFAB1;NDUFB7;NDUFS3;NKIRAS1;NMT1;OMD;PDCD4;PEMT;PEX14;PFKFB3;PFKL;PGM1;PHLDB1;PHYH;PIM3;PLIN2;POR;PPARG;PPM1B;PPP1R15B;PRDX3;PREB;PTCD3;PTGER3;QDPR;RAB34;REEP5;REEP6;RETSAT;RIOK3;RMDN3;RNF11;RREB1;RTN3;SAMM50;SCARB1;SCP2;SDHB;SDHC;SLC19A1;SLC1A5;SLC25A1;SLC25A10;SLC27A1;SLC5A6;SLC66A3;SNCG;SOD1;SORBS1;SOWAHC;SPARCL1;SQOR;SSPN;STAT5A;STOM;SUCLG1;SULT1A1;TALDO1;TANK;TKT;TOB1;TST;UBC;UBQLN1;UCK1;UCP2;UQCR10;UQCR11;UQCRC1;UQCRQ;VEGFB;YWHAG	LS	discovery
Hallmark::HALLMARK_ALLOGRAFT_REJECTION	Hallmark	HALLMARK_ALLOGRAFT_REJECTION	200	171	AARS1;ABCE1;ABI1;ACVR2A;AKT1;APBB1;B2M;BCAT1;BCL10;BCL3;BRCA1;C2;CAPG;CCL13;CCL19;CCL2;CCL22;CCL5;CCND2;CCND3;CCR1;CCR2;CCR5;CD2;CD247;CD28;CD3D;CD3E;CD3G;CD4;CD40;CD47;CD7;CD74;CD86;CD8A;CD8B;CD96;CDKN2A;CFP;CSF1;CSK;CTSS;CXCL13;CXCL9;DARS1;DEGS1;DYRK3;EGFR;EIF3A;EIF3D;EIF3J;EIF4G3;EIF5A;ELF4;EREG;ETS1;F2R;FAS;FASLG;FCGR2B;FGR;FLNA;FYB1;GALNT1;GBP2;GCNT1;GLMN;GPR65;GZMA;GZMB;HCLS1;HDAC9;HIF1A;HLA-A;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DQA1;HLA-DRA;HLA-E;ICAM1;ICOSLG;IFNAR2;IFNGR1;IFNGR2;IGSF6;IKBKB;IL11;IL12B;IL12RB1;IL15;IL16;IL18;IL18RAP;IL1B;IL27RA;IL2RA;IL2RB;IL2RG;IL4R;IL7;INHBA;INHBB;IRF4;IRF7;IRF8;ITGAL;ITGB2;ITK;JAK2;KLRD1;KRT1;LCK;LCP2;LIF;LY75;LY86;LYN;MAP3K7;MAP4K1;MMP9;MRPL3;MTIF2;NCF4;NCK1;NLRP3;NME1;NOS2;NPM1;PRF1;PRKCB;PSMB10;PTPN6;PTPRC;RARS1;RIPK2;RPL39;RPL3L;RPL9;RPS19;RPS3A;RPS9;SIT1;SOCS1;SOCS5;SPI1;SRGN;ST8SIA4;STAB1;STAT1;STAT4;TAP1;TAP2;TAPBP;TGFB1;TGFB2;THY1;TIMP1;TLR1;TLR2;TLR3;TLR6;TPD52;TRAF2;UBE2D1;UBE2N;WARS1;WAS;ZAP70	LS	discovery
Hallmark::HALLMARK_ANDROGEN_RESPONSE	Hallmark	HALLMARK_ANDROGEN_RESPONSE	101	97	ABCC4;ABHD2;ACSL3;ACTN1;ADAMTS1;ADRM1;AKAP12;AKT1;ALDH1A3;ANKH;APPBP2;ARID5B;AZGP1;B2M;B4GALT1;BMPR1B;CAMKK2;CCND1;CCND3;CDC14B;CDK6;CENPN;DBI;DHCR24;DNAJB9;ELK4;ELL2;ELOVL5;FADS1;FKBP5;GNAI3;GPD1L;GSR;GUCY1A1;H1-0;HERC3;HMGCR;HMGCS1;HOMER2;HPGD;HSD17B14;IDI1;INPP4B;INSIG1;IQGAP2;ITGAV;KRT19;KRT8;LIFR;LMAN1;MAF;MAP7;MERTK;MYL12A;NCOA4;NDRG1;NGLY1;NKX3-1;PA2G4;PDLIM5;PGM3;PIAS1;PLPP1;PMEPA1;PTK2B;PTPN21;RAB4A;RPS6KA3;RRP12;SAT1;SCD;SEC24D;SELENOP;SGK1;SLC26A2;SLC38A2;SMS;SORD;SPCS3;SPDEF;SRF;SRP19;STEAP4;STK39;TMEM50A;TMPRSS2;TNFAIP8;TPD52;TSC22D1;UAP1;UBE2I;UBE2J1;VAPA;XRCC5;XRCC6;ZBTB10;ZMIZ1	LS	discovery
Hallmark::HALLMARK_ANGIOGENESIS	Hallmark	HALLMARK_ANGIOGENESIS	36	31	APP;CCND2;COL3A1;COL5A2;CXCL6;FGFR1;FSTL1;ITGAV;JAG1;JAG2;KCNJ8;LPL;LRPAP1;LUM;MSX1;NRP1;PDGFA;POSTN;PRG2;PTK2;S100A4;SERPINA5;SLCO2A1;SPP1;STC1;THBD;TIMP1;TNFRSF21;VAV2;VCAN;VEGFA	LS	discovery
Hallmark::HALLMARK_APICAL_JUNCTION	Hallmark	HALLMARK_APICAL_JUNCTION	200	180	ACTA1;ACTB;ACTC1;ACTG1;ACTG2;ACTN1;ACTN4;ADAM15;ADAM23;ADAM9;ADAMTS5;AKT2;AKT3;ALOX15B;AMIGO1;AMIGO2;ARHGEF6;ARPC2;B4GALT1;BAIAP2;BMP1;CADM2;CADM3;CALB2;CAP1;CD209;CD274;CD276;CD34;CD86;CD99;CDH1;CDH11;CDH3;CDH4;CDH6;CDH8;CDK8;CDSN;CERCAM;CLDN11;CLDN15;CLDN4;CLDN5;CLDN7;CLDN8;CNN2;CNTN1;COL16A1;COL17A1;CRAT;CRB3;CTNNA1;CTNND1;CX3CL1;DHX16;DLG1;DSC1;DSC3;EGFR;EPB41L2;EVL;EXOC4;FBN1;FLNC;FSCN1;FYB1;GAMT;GNAI1;GNAI2;GRB7;GTF2F1;HADH;HRAS;ICAM1;ICAM2;IKBKG;INPPL1;INSIG1;IRS1;ITGA10;ITGA2;ITGA3;ITGA9;ITGB1;ITGB4;JAM3;JUP;KRT31;LAMA3;LAMB3;LAMC2;LAYN;LDLRAP1;LIMA1;MAP3K20;MAP4K2;MAPK11;MAPK13;MAPK14;MDK;MMP2;MMP9;MPZL1;MPZL2;MSN;MVD;MYH10;MYH9;MYL12B;MYL9;NECTIN1;NECTIN2;NECTIN3;NECTIN4;NEGR1;NEXN;NF1;NF2;NFASC;NLGN2;NLGN3;NRTN;NRXN2;PALS1;PARD6G;PARVA;PBX2;PCDH1;PECAM1;PFN1;PIK3CB;PIK3R3;PKD1;PLCG1;PPP2R2C;PTEN;PTK2;PTPRC;RAC2;RASA1;RHOF;RRAS;RSU1;SDC3;SGCE;SHC1;SHROOM2;SIRPA;SKAP2;SLIT2;SORBS3;SPEG;SRC;STX4;SYK;SYMPK;TAOK2;TGFBI;THBS3;THY1;TIAL1;TJP1;TMEM8B;TNFRSF11B;TRAF1;TRO;TSC1;TSPAN4;TUBG1;VASP;VAV2;VCAM1;VCAN;VCL;VWF;WASL;WNK4;YWHAH;ZYX	LS	discovery
Hallmark::HALLMARK_APICAL_SURFACE	Hallmark	HALLMARK_APICAL_SURFACE	44	40	ADAM10;ADIPOR2;AFAP1L2;AKAP7;APP;ATP6V0A4;ATP8B1;B4GALT1;BRCA1;CROCC;CRYBG1;CX3CL1;DCBLD2;EFNA5;EPHB4;FLOT2;GAS1;GATA3;GSTM3;HSPB1;IL2RB;IL2RG;LYN;LYPD3;MAL;MDGA1;NCOA6;NTNG1;PCSK9;PKHD1;PLAUR;RHCG;RTN4RL1;SCUBE1;SHROOM2;SLC2A4;SRPX;SULF2;THY1;TMEM8B	LS	discovery
Hallmark::HALLMARK_APOPTOSIS	Hallmark	HALLMARK_APOPTOSIS	161	153	ADD1;ANKH;ANXA1;APP;ATF3;AVPR1A;BAX;BCAP31;BCL10;BCL2L1;BCL2L10;BCL2L11;BCL2L2;BGN;BID;BIK;BIRC3;BMF;BMP2;BNIP3L;BRCA1;BTG2;BTG3;CASP1;CASP2;CASP3;CASP4;CASP6;CASP7;CASP8;CASP9;CAV1;CCNA1;CCND1;CCND2;CD14;CD2;CD38;CD44;CD69;CDC25B;CDK2;CDKN1A;CDKN1B;CFLAR;CLU;CREBBP;CTH;CTNNB1;CYLD;DAP;DAP3;DCN;DDIT3;DFFA;DIABLO;DNAJA1;DNAJC3;DNM1L;DPYD;EBP;EGR3;EMP1;ENO2;ERBB2;ERBB3;EREG;ETF1;F2R;FAS;FASLG;FDXR;FEZ1;GADD45A;GADD45B;GCH1;GNA15;GPX1;GPX3;GPX4;GSN;GSR;GSTM1;H1-0;HGF;HMGB2;HMOX1;HSPB1;IFITM3;IFNGR1;IGF2R;IGFBP6;IL18;IL1A;IL1B;IRF1;ISG20;JUN;KRT18;LEF1;LGALS3;LMNA;LUM;MADD;MCL1;MGMT;MMP2;NEDD9;NEFH;PAK1;PDCD4;PDGFRB;PEA15;PLAT;PLCB2;PLPPR4;PMAIP1;PPP2R5B;PPP3R1;PPT1;PRF1;PSEN1;PSEN2;PTK2;RARA;RELA;RETSAT;RHOB;RHOT2;RNASEL;ROCK1;SAT1;SATB1;SC5D;SLC20A1;SMAD7;SOD1;SPTAN1;SQSTM1;TAP1;TGFB2;TGFBR3;TIMP1;TIMP2;TIMP3;TNFRSF12A;TNFSF10;TOP2A;TSPO;TXNIP;VDAC2;WEE1;XIAP	LS	discovery
Hallmark::HALLMARK_BILE_ACID_METABOLISM	Hallmark	HALLMARK_BILE_ACID_METABOLISM	112	94	ABCA1;ABCA2;ABCA3;ABCA4;ABCA5;ABCA6;ABCA8;ABCA9;ABCD1;ABCD2;ABCD3;ABCG4;ACSL1;ACSL5;ALDH1A1;ALDH9A1;AMACR;AQP9;AR;ATXN1;BBOX1;BCAR3;BMP6;CAT;CH25H;CROT;CYP27A1;CYP39A1;CYP46A1;CYP7B1;CYP8B1;DHCR24;DIO2;EFHC1;EPHX2;FADS1;FADS2;FDXR;GCLM;GNPAT;GSTK1;HACL1;HSD17B11;HSD17B4;HSD17B6;HSD3B1;HSD3B7;IDH1;IDH2;IDI1;ISOC1;LCK;LIPE;LONP2;MLYCD;NEDD4;NPC1;NR3C2;NUDT12;OPTN;PAOX;PECR;PEX1;PEX11A;PEX11G;PEX12;PEX13;PEX16;PEX19;PEX26;PEX6;PEX7;PFKM;PHYH;PIPOX;PNPLA8;PRDX5;PXMP2;RBP1;RETSAT;RXRA;RXRG;SCP2;SLC22A18;SLC23A1;SLC23A2;SLC27A2;SLC27A5;SLC29A1;SLC35B2;SOD1;SULT1B1;SULT2B1;TFCP2L1	LS	discovery
Hallmark::HALLMARK_CHOLESTEROL_HOMEOSTASIS	Hallmark	HALLMARK_CHOLESTEROL_HOMEOSTASIS	74	72	ABCA2;ACAT2;ACSS2;ACTG1;ALCAM;ALDOC;ANTXR2;ANXA5;ATF3;ATF5;ATXN2;AVPR1A;CBS;CD9;CHKA;CLU;CPEB2;CTNNB1;CXCL16;CYP51A1;DHCR7;EBP;ECH1;ERRFI1;ETHE1;FABP5;FADS2;FASN;FBXO6;FDFT1;FDPS;GLDC;GNAI1;GPX8;GSTM2;GUSB;HMGCR;HMGCS1;HSD17B7;IDI1;JAG1;LDLR;LGALS3;LGMN;LPL;LSS;MAL2;MVD;MVK;NFIL3;NIBAN1;NSDHL;PCYT2;PDK3;PLAUR;PLSCR1;PMVK;PNRC1;PPARG;S100A11;SC5D;SCD;SEMA3B;SQLE;SREBF2;STARD4;STX5;TM7SF2;TMEM97;TNFRSF12A;TP53INP1;TRIB3	LS	discovery
Hallmark::HALLMARK_COAGULATION	Hallmark	HALLMARK_COAGULATION	138	106	A2M;ACOX2;ADAM9;ANG;ANXA1;APOC1;APOC2;ARF4;BMP1;C1QA;C1R;C1S;C2;C3;CAPN2;CAPN5;CASP9;CD9;CFB;CFD;CFH;CFI;CLU;COMP;CPQ;CRIP2;CSRP1;CTSB;CTSH;CTSK;CTSO;CTSV;DCT;DPP4;DUSP14;DUSP6;F10;F12;F2RL2;F3;F8;FBN1;FN1;FURIN;FYN;GDA;GNB2;GNG12;GP1BA;GSN;HMGCS2;HTRA1;ISCU;ITGA2;ITGB3;KLF7;KLK8;LAMP2;LGMN;LRP1;LTA4H;MAFF;MASP2;MMP1;MMP11;MMP14;MMP15;MMP2;MMP3;MMP7;MMP9;MSRB2;MST1;P2RY1;PDGFB;PECAM1;PEF1;PLAT;PLAU;PLEK;PREP;PROS1;PRSS23;RABIF;RAC1;RAPGEF3;RGN;S100A1;S100A13;SERPINA1;SERPINB2;SERPINE1;SERPING1;SH2B2;SIRT2;SPARC;TF;TFPI2;THBD;THBS1;TIMP1;TIMP3;TMPRSS6;USP11;VWF;WDR1	LS	discovery
