sample	feature	view	group	value
1001	signaling_PROGENy::JAK-STAT	LS	discovery	0.3256602328031082
1002	signaling_PROGENy::JAK-STAT	LS	discovery	-0.1338736041357821
1003	signaling_PROGENy::JAK-STAT	LS	discovery	-0.5199099981996644
1004	signaling_PROGENy::JAK-STAT	LS	discovery	-0.678494810525614
1005	signaling_PROGENy::JAK-STAT	LS	discovery	-0.1388661952176022
1006	signaling_PROGENy::JAK-STAT	LS	discovery	-1.0322905306212096
1008	signaling_PROGENy::JAK-STAT	LS	discovery	0.5930999235915707
1009	signaling_PROGENy::JAK-STAT	LS	discovery	-0.35127247995162825
1013	signaling_PROGENy::JAK-STAT	LS	discovery	0.5834724037125532
1014	signaling_PROGENy::JAK-STAT	LS	discovery	0.7208260077749405
138001	signaling_PROGENy::JAK-STAT	LS	discovery	-1.2028761669066539
138002	signaling_PROGENy::JAK-STAT	LS	discovery	0.933240073691454
138003	signaling_PROGENy::JAK-STAT	LS	discovery	1.0090431058326725
138004	signaling_PROGENy::JAK-STAT	LS	discovery	0.3574209904728568
23002	signaling_PROGENy::JAK-STAT	LS	discovery	-0.6253576711169496
23003	signaling_PROGENy::JAK-STAT	LS	discovery	0.9629830503191212
23005	signaling_PROGENy::JAK-STAT	LS	discovery	-1.616834351547516
23006	signaling_PROGENy::JAK-STAT	LS	discovery	0.5409631495616757
23007	signaling_PROGENy::JAK-STAT	LS	discovery	-0.6886661302692882
23009	signaling_PROGENy::JAK-STAT	LS	discovery	-0.43520846887201114
23012	signaling_PROGENy::JAK-STAT	LS	discovery	-1.200226280578866
5002	signaling_PROGENy::JAK-STAT	LS	discovery	-0.26564550228492945
5003	signaling_PROGENy::JAK-STAT	LS	discovery	-0.919823162924442
5004	signaling_PROGENy::JAK-STAT	LS	discovery	1.4345869009248073
5006	signaling_PROGENy::JAK-STAT	LS	discovery	-1.6596243419623975
5007	signaling_PROGENy::JAK-STAT	LS	discovery	-0.627894834510934
5008	signaling_PROGENy::JAK-STAT	LS	discovery	0.11089421184661068
5015	signaling_PROGENy::JAK-STAT	LS	discovery	1.359097851655059
5016	signaling_PROGENy::JAK-STAT	LS	discovery	-3.0362308811965883
5017	signaling_PROGENy::JAK-STAT	LS	discovery	0.32144804540291927
5018	signaling_PROGENy::JAK-STAT	LS	discovery	-1.0161061631606012
5019	signaling_PROGENy::JAK-STAT	LS	discovery	-0.26434166210479065
5020	signaling_PROGENy::JAK-STAT	LS	discovery	-0.49434904531090634
5021	signaling_PROGENy::JAK-STAT	LS	discovery	1.908855039414411
5022	signaling_PROGENy::JAK-STAT	LS	discovery	1.0174771636893825
5023	signaling_PROGENy::JAK-STAT	LS	discovery	1.4308917076787713
5024	signaling_PROGENy::JAK-STAT	LS	discovery	0.2886765734974844
5025	signaling_PROGENy::JAK-STAT	LS	discovery	0.6683133893148855
60001	signaling_PROGENy::JAK-STAT	LS	discovery	1.8221365395845188
60005	signaling_PROGENy::JAK-STAT	LS	discovery	-0.24253999300532544
6001	signaling_PROGENy::JAK-STAT	LS	discovery	1.5638565713945727
6002	signaling_PROGENy::JAK-STAT	LS	discovery	0.7931456002039634
6003	signaling_PROGENy::JAK-STAT	LS	discovery	1.9590585746025775
6004	signaling_PROGENy::JAK-STAT	LS	discovery	0.5479500174775388
6005	signaling_PROGENy::JAK-STAT	LS	discovery	0.045100934252791956
6006	signaling_PROGENy::JAK-STAT	LS	discovery	0.8528099156464145
6007	signaling_PROGENy::JAK-STAT	LS	discovery	0.6624651996123359
6008	signaling_PROGENy::JAK-STAT	LS	discovery	0.5561886628625888
6010	signaling_PROGENy::JAK-STAT	LS	discovery	-0.12460690475198755
6012	signaling_PROGENy::JAK-STAT	LS	discovery	0.6961493104325205
6013	signaling_PROGENy::JAK-STAT	LS	discovery	0.600735498385985
6014	signaling_PROGENy::JAK-STAT	LS	discovery	0.6405444679995848
6016	signaling_PROGENy::JAK-STAT	LS	discovery	-0.7336939632934767
6017	signaling_PROGENy::JAK-STAT	LS	discovery	0.13656665738548324
6018	signaling_PROGENy::JAK-STAT	LS	discovery	0.36404333256850285
6019	signaling_PROGENy::JAK-STAT	LS	discovery	0.9368305625585565
6020	signaling_PROGENy::JAK-STAT	LS	discovery	0.9143895222626541
6021	signaling_PROGENy::JAK-STAT	LS	discovery	-1.1212682655226796
6022	signaling_PROGENy::JAK-STAT	LS	discovery	-1.7189756877081814
6023	signaling_PROGENy::JAK-STAT	LS	discovery	-1.376783279675061
6024	signaling_PROGENy::JAK-STAT	LS	discovery	-0.45925902418613707
6025	signaling_PROGENy::JAK-STAT	LS	discovery	-1.2993803432023223
6026	signaling_PROGENy::JAK-STAT	LS	discovery	-1.304954758599158
6028	signaling_PROGENy::JAK-STAT	LS	discovery	-0.7101225093958687
6029	signaling_PROGENy::JAK-STAT	LS	discovery	1.038965298609076
6030	signaling_PROGENy::JAK-STAT	LS	discovery	0.017546885602332668
6031	signaling_PROGENy::JAK-STAT	LS	discovery	1.4205107186465655
6032	signaling_PROGENy::JAK-STAT	LS	discovery	0.6840321161099309
6033	signaling_PROGENy::JAK-STAT	LS	discovery	0.46176970162910874
6034	signaling_PROGENy::JAK-STAT	LS	discovery	-0.8966103005374905
6035	signaling_PROGENy::JAK-STAT	LS	discovery	-0.40577394607617434
6036	signaling_PROGENy::JAK-STAT	LS	discovery	0.4083270321216172
6038	signaling_PROGENy::JAK-STAT	LS	discovery	-1.148029772657367
6039	signaling_PROGENy::JAK-STAT	LS	discovery	-0.8385948112956217
6040	signaling_PROGENy::JAK-STAT	LS	discovery	-1.9904105728018677
6041	signaling_PROGENy::JAK-STAT	LS	discovery	-0.4111765270264102
1001	regulon_DoRothEA::STAT1	LS	discovery	-0.8508530053372378
1002	regulon_DoRothEA::STAT1	LS	discovery	-0.731080680683318
1003	regulon_DoRothEA::STAT1	LS	discovery	-1.345800731484422
1004	regulon_DoRothEA::STAT1	LS	discovery	-0.9083987821811498
1005	regulon_DoRothEA::STAT1	LS	discovery	-1.2532822857189427
1006	regulon_DoRothEA::STAT1	LS	discovery	-0.29414571138881873
1008	regulon_DoRothEA::STAT1	LS	discovery	0.5434337089423041
1009	regulon_DoRothEA::STAT1	LS	discovery	0.6810500758316733
1013	regulon_DoRothEA::STAT1	LS	discovery	-0.08699155970258862
1014	regulon_DoRothEA::STAT1	LS	discovery	0.08260356317218097
138001	regulon_DoRothEA::STAT1	LS	discovery	0.3001323108985965
138002	regulon_DoRothEA::STAT1	LS	discovery	-0.23340987967414467
138003	regulon_DoRothEA::STAT1	LS	discovery	0.1158002983025404
138004	regulon_DoRothEA::STAT1	LS	discovery	1.1389666534362104
23002	regulon_DoRothEA::STAT1	LS	discovery	0.530675720204523
23003	regulon_DoRothEA::STAT1	LS	discovery	1.340655738404323
23005	regulon_DoRothEA::STAT1	LS	discovery	-0.5958695874513219
23006	regulon_DoRothEA::STAT1	LS	discovery	-0.8530017890008538
23007	regulon_DoRothEA::STAT1	LS	discovery	-0.40632051078513126
23009	regulon_DoRothEA::STAT1	LS	discovery	-0.7026344273086607
23012	regulon_DoRothEA::STAT1	LS	discovery	-1.8095186181439824
5002	regulon_DoRothEA::STAT1	LS	discovery	-0.7961619196116909
5003	regulon_DoRothEA::STAT1	LS	discovery	0.6126594714447275
5004	regulon_DoRothEA::STAT1	LS	discovery	0.8684370209322384
5006	regulon_DoRothEA::STAT1	LS	discovery	-0.7790070085294919
5007	regulon_DoRothEA::STAT1	LS	discovery	1.295802833563901
5008	regulon_DoRothEA::STAT1	LS	discovery	1.519736128663397
5015	regulon_DoRothEA::STAT1	LS	discovery	-0.34806475811907694
5016	regulon_DoRothEA::STAT1	LS	discovery	0.01972177965186884
5017	regulon_DoRothEA::STAT1	LS	discovery	-0.0013806134577596769
5018	regulon_DoRothEA::STAT1	LS	discovery	0.6562384744590886
5019	regulon_DoRothEA::STAT1	LS	discovery	0.22538680236316838
5020	regulon_DoRothEA::STAT1	LS	discovery	-0.07443343111292837
5021	regulon_DoRothEA::STAT1	LS	discovery	1.6400052284032476
5022	regulon_DoRothEA::STAT1	LS	discovery	1.487001998904063
5023	regulon_DoRothEA::STAT1	LS	discovery	2.1012157665246542
5024	regulon_DoRothEA::STAT1	LS	discovery	0.9248586941517545
5025	regulon_DoRothEA::STAT1	LS	discovery	0.7548240902319515
60001	regulon_DoRothEA::STAT1	LS	discovery	0.9086023665755764
60005	regulon_DoRothEA::STAT1	LS	discovery	0.02810869617737773
6001	regulon_DoRothEA::STAT1	LS	discovery	-0.2423864923397297
6002	regulon_DoRothEA::STAT1	LS	discovery	0.3061918012911251
6003	regulon_DoRothEA::STAT1	LS	discovery	0.07509401978785557
6004	regulon_DoRothEA::STAT1	LS	discovery	1.3083698833061512
6005	regulon_DoRothEA::STAT1	LS	discovery	-0.3742778663466967
6006	regulon_DoRothEA::STAT1	LS	discovery	1.8029984940289157
6007	regulon_DoRothEA::STAT1	LS	discovery	-0.4197791729544418
6008	regulon_DoRothEA::STAT1	LS	discovery	1.0150946943855468
6010	regulon_DoRothEA::STAT1	LS	discovery	0.2749271292646947
6012	regulon_DoRothEA::STAT1	LS	discovery	0.9713239524157742
6013	regulon_DoRothEA::STAT1	LS	discovery	-0.0990438624602276
6014	regulon_DoRothEA::STAT1	LS	discovery	0.08129917144666607
6016	regulon_DoRothEA::STAT1	LS	discovery	-2.034420710371031
6017	regulon_DoRothEA::STAT1	LS	discovery	0.17068874555866073
