factor	view	n_common_features	loading_vs_replication_mean_shift_spearman	replication_projected_score_mean	replication_projected_score_sd
F1	LS	450	0.4568104571032002	0.010738886850994235	0.5202198878704027
F1	NL	450	0.08489712610752309	0.010738886850994235	0.5202198878704027
F2	LS	450	0.18711443316753779	-0.012202517497982034	0.567504713164083
F2	NL	450	-0.5275436890666008	-0.012202517497982034	0.567504713164083
F3	LS	450	-0.06007224419221749	0.004074486971371652	0.1775568756830683
F3	NL	450	0.2206234899881685	0.004074486971371652	0.1775568756830683
F4	LS	450	0.14568306054105448	0.001902407868692409	0.21019236721610193
F4	NL	450	0.07971176860579189	0.001902407868692409	0.21019236721610193
F5	LS	450	-0.2960701582498101	-0.005076653612371504	0.2882757459143413
F5	NL	450	0.04560015976421478	-0.005076653612371504	0.2882757459143413
F6	LS	450	0.12589176013242573	0.0031336462359785435	0.28192654663761896
F6	NL	450	0.027213316107629094	0.0031336462359785435	0.28192654663761896
F7	LS	450	0.037348904155950526	0.002982444741874007	0.13523735527718636
F7	NL	450	0.13528066491516874	0.002982444741874007	0.13523735527718636
F8	LS	450	0.08829370174447469	0.006151027475499399	0.2476099281639889
F8	NL	450	0.2729423196797394	0.006151027475499399	0.2476099281639889
