factor	covariate	n	beta	pvalue	partial_r2	full_model_r2	fdr
F1	pasi	76	-0.006349594373943922	0.9581092115749099	3.969644450317011e-05	0.06214637733256445	0.9581092115749099
F1	bmi	76	-0.19896369730683738	0.12484694568955965	0.033321785170905505	0.06214637733256445	0.832312971263731
F1	age	76	-0.11811919038602019	0.3223210983250612	0.013994267244822604	0.06214637733256445	0.9368964731596333
F1	sex	76	-0.1797605095324332	0.1538920263923485	0.028830254428572816	0.06214637733256445	0.8793830079562771
F1	hla_c0602_carrier	76	-0.0991033325085539	0.40668702442407134	0.009856754910537021	0.06214637733256445	0.9368964731596333
F2	pasi	76	-0.07938886804561644	0.5072853066524935	0.00630592781573842	0.08286161794513014	0.9368964731596333
F2	bmi	76	-0.2359961358484776	0.06663330302971372	0.047248524277441785	0.08286161794513014	0.6663330302971372
F2	age	76	0.09973474835190367	0.39763764587254	0.010241235200103862	0.08286161794513014	0.9368964731596333
F2	sex	76	-0.05471737390953498	0.658615261208578	0.0028047595124532565	0.08286161794513014	0.9368964731596333
F2	hla_c0602_carrier	76	0.06877037216835027	0.559911239648861	0.004877965172637713	0.08286161794513014	0.9368964731596333
F3	pasi	76	-0.22061184187537958	0.06176596826181079	0.0489638711427453	0.12704701171942945	0.6663330302971372
F3	bmi	76	0.33114296073169025	0.009179243953378633	0.09303851057992953	0.12704701171942945	0.3671697581351453
F3	age	76	-0.025135422747810186	0.8266295234443074	0.0006899960863692462	0.12704701171942945	0.9505369182226193
F3	sex	76	0.02199242340463031	0.8554832264003573	0.00047714223494289127	0.12704701171942945	0.9505369182226193
F3	hla_c0602_carrier	76	0.053228938009992434	0.643568741865149	0.0030758230521971933	0.12704701171942945	0.9368964731596333
F4	pasi	76	0.056248517126015495	0.6331472129998679	0.003272485333719448	0.1101171455163259	0.9368964731596333
F4	bmi	76	-0.0726244431311207	0.5623832528711135	0.004816920496516071	0.1101171455163259	0.9368964731596333
F4	age	76	-0.2583442416235623	0.02840334541239137	0.06677529567036683	0.1101171455163259	0.5680669082478275
F4	sex	76	-0.010364758612134577	0.9322441958467806	0.00010400163942779695	0.1101171455163259	0.9581092115749099
F4	hla_c0602_carrier	76	0.19658283863879086	0.09358792532297433	0.03964466830267711	0.1101171455163259	0.7487034025837946
F5	pasi	76	-0.16275068807489115	0.18691065779537497	0.024749458118144958	0.036152960013404734	0.9345532889768748
F5	bmi	76	0.025902050397692927	0.8424668335356393	0.0005681291437570694	0.036152960013404734	0.9505369182226193
F5	age	76	0.033208615117771505	0.7830357839300828	0.001090396529494252	0.036152960013404734	0.9505369182226193
F5	sex	76	0.05480585595443292	0.6659609581223436	0.002677818269851865	0.036152960013404734	0.9368964731596333
F5	hla_c0602_carrier	76	-0.05979662439664887	0.620856857828771	0.003514073652835849	0.036152960013404734	0.9368964731596333
F6	pasi	76	0.05111697530420105	0.6792499430407342	0.0024569294944459426	0.020326854451163	0.9368964731596333
F6	bmi	76	-0.06011966188777508	0.6474832173626626	0.003003855504342535	0.020326854451163	0.9368964731596333
F6	age	76	-0.007350259977651489	0.951781655086561	5.260974646159401e-05	0.020326854451163	0.9581092115749099
F6	sex	76	-0.10999224709463673	0.39107425203137747	0.010528009318527386	0.020326854451163	0.9368964731596333
F6	hla_c0602_carrier	76	-0.10586644182507311	0.3859202882112671	0.010758022269503177	0.020326854451163	0.9368964731596333
F7	pasi	76	0.09032769293189724	0.46482481390888575	0.007657372533661074	0.023582278713244698	0.9368964731596333
F7	bmi	76	-0.024833881605029882	0.8498456994529828	0.0005155411177170401	0.023582278713244698	0.9505369182226193
F7	age	76	0.08228742498041174	0.49841393121041033	0.0065725260846132855	0.023582278713244698	0.9368964731596333
F7	sex	76	0.010365936705674775	0.9353018782491955	9.480693059518246e-05	0.023582278713244698	0.9581092115749099
F7	hla_c0602_carrier	76	-0.08416156232903584	0.48949804203094305	0.006848600853898691	0.023582278713244698	0.9368964731596333
F8	pasi	76	-0.07669333958477875	0.5327009411246217	0.005584710355910241	0.0328487807042509	0.9368964731596333
F8	bmi	76	0.02917086335081088	0.8232018254763964	0.0007180024877800205	0.0328487807042509	0.9505369182226193
F8	age	76	-0.1241086548412692	0.30594886329890264	0.01496668210312401	0.0328487807042509	0.9368964731596333
F8	sex	76	-0.07738554619378034	0.5431134158067814	0.005306575866945865	0.0328487807042509	0.9368964731596333
F8	hla_c0602_carrier	76	0.029745261654997128	0.8058415662059254	0.0008688767237621081	0.0328487807042509	0.9505369182226193
