view	feature	mean_discovery	sd_discovery
LS	signaling_PROGENy::JAK-STAT	0.5668410953947369	6.908975606995847
LS	regulon_DoRothEA::STAT1	0.38570398680263146	4.3752194132841336
LS	regulon_DoRothEA::CEBPA	0.32073609655263163	4.325496300528692
LS	regulon_DoRothEA::FOS	0.2248343630657895	3.7671957170442387
LS	signaling_PROGENy::MAPK	-0.003077468368420956	3.5815388038887592
LS	signaling_PROGENy::NFkB	0.00125258028947372	3.3965594067878806
LS	signaling_PROGENy::EGFR	-0.2046869534210526	3.2968152288666124
LS	signaling_PROGENy::PI3K	0.0663870492105264	3.264464803905634
LS	regulon_DoRothEA::IRF3	-0.17121440749999997	3.2486862609621907
LS	signaling_PROGENy::TNFa	-0.053154998421052556	3.2145747715699096
LS	regulon_DoRothEA::RELA	-0.00714384530263158	2.850035649922535
LS	regulon_DoRothEA::NFKB1	0.016457610657894684	2.8182468167296366
LS	signaling_PROGENy::Hypoxia	0.05361485057894734	2.7266764017774783
LS	signaling_PROGENy::TGFb	-0.05653492192105264	2.610961846989932
LS	regulon_DoRothEA::HIF1A	0.08563422209210525	2.571649237717123
LS	regulon_DoRothEA::STAT3	0.014252426657894736	2.4318203362459947
LS	regulon_DoRothEA::JUN	-0.048990150236842084	2.4120818189878115
LS	regulon_DoRothEA::IRF1	0.2126131343157894	2.316842294700593
LS	regulon_DoRothEA::SMAD3	-0.03867804931315783	2.1884140953821274
LS	regulon_DoRothEA::AHR	0.1252550486842105	1.911617907581459
LS	regulon_DoRothEA::CEBPB	0.029841831614473666	1.4518886395974318
LS	signaling_PROGENy::Androgen	0.1650063358342105	1.4472419951960176
LS	signaling_PROGENy::p53	-0.005621050842105252	1.4241183035006009
LS	signaling_PROGENy::VEGF	-0.07033655040789474	1.2498564056559418
LS	signaling_PROGENy::Trail	-0.03825348518157892	1.2320194392754364
LS	signaling_PROGENy::Estrogen	0.0015298155263158025	1.0629011368861445
LS	Reactome::HS-GAG biosynthesis	0.00014098367285249398	1.0313070999595468
LS	Reactome::Regulation of gene expression by Hypoxia-inducible Factor	0.0008870571067488433	1.030385341061657
LS	Reactome::Synthesis of bile acids and bile salts	0.012038884216391082	1.0301864272851948
LS	Reactome::DNA Damage Recognition in GG-NER	0.0069146768244213175	1.0295373070456804
LS	Reactome::Protein methylation	0.007427223798018158	1.0293980740576585
